"PARENT.ID","ID","LENGTH","START","END","CLASS","X.FIT..D","X..COG.","Y..COG.","FRACT..DIM.","TRAPPEDNESS","EFFICENCY","STRAIGHTNESS","SPEED","KURTOSIS","X.FIT..ALPHA","GAUSSIANITY","Asymmetry","MSDRatio","Loc..noise_sigma","Fit.Goodness","Alpha.Fit.Goodness","Confidence","COND"
491,956,11,287,297,"NORM. DIFFUSION",0.01816,1.24,5.782,1.94,0.847,0.027,0.219,0.366,2.744,0.415,0.982,0.208,0.469,0.046,0.718,0.852,0.464,"BeforeLatB1"
1,1,30,0,29,"SUBDIFFUSION",0.002954,4.271,3.085,2.459,0.995,0.008,0.101,0.105,2.3,0.285,0.029,0.188,0.274,0.024,0.225,0.225,0.651,"BeforeLatB1"
2,6,18,10,27,"SUBDIFFUSION",0.001159,4.924,3.251,2.429,-0.227,0.007,0.105,0.113,4.297,5.453e-12,0.608,0.105,2.8,0.04,-0.054,-0.054,0.555,"BeforeLatB1"
4,8,15,5,19,"SUBDIFFUSION",0.01132,0.101,2.275,2.421,-0.227,0.016,0.154,0.275,2.102,0.408,-0.144,0.198,0.279,0.044,0.651,0.651,0.609,"BeforeLatB1"
7,25,57,28,84,"SUBDIFFUSION",0.005037,2.507,3.564,2.024,0.949,0.012,0.13,0.092,11.464,0.744,0.234,0.226,0.396,0.014,0.913,0.913,0.618,"BeforeLatB1"
7,27,18,103,120,"SUBDIFFUSION",0.00183,2.464,3.604,2.176,0.789,0.01,0.117,0.089,2.75,0.365,-0.021,0.052,0.276,0.023,0.777,0.777,0.62,"BeforeLatB1"
9,39,13,17,29,"SUBDIFFUSION",0.001231,0.588,4.883,1.845,0.841,0.062,0.32,0.16,1.513,0.449,-0.2,0.213,0.217,0.009,0.85,0.85,0.562,"BeforeLatB1"
11,49,47,29,75,"SUBDIFFUSION",0.0005813,6.206,5.776,2.389,0.997,0.002,0.059,0.033,3.351,2.039e-11,0.577,0.044,2.109,0.018,-0.014,-0.014,0.573,"BeforeLatB1"
11,51,13,87,99,"SUBDIFFUSION",0.001307,6.228,5.788,2.365,0.985,0.003,0.066,0.057,1.949,0.137,-0.219,0.104,0.217,0.022,-0.049,-0.049,0.58,"BeforeLatB1"
15,60,37,70,106,"SUBDIFFUSION",0.0008388,0.735,4.067,2.776,0.739,0.001,0.045,0.027,2.302,0.254,-0.169,0.077,0.416,0.02,0.677,0.677,0.639,"BeforeLatB1"
22,81,13,0,12,"SUBDIFFUSION",0.00229,0.043,5.972,2.279,-0.227,0.034,0.248,0.33,2.616,0.006,0.518,0.214,0.237,0.037,-0.087,-0.087,0.494,"BeforeLatB1"
23,85,16,10,25,"SUBDIFFUSION",0.001567,5.467,0.098,2.9,0.534,0.011,0.13,0.143,2.793,3.68e-10,0.786,0.154,1.667,0.04,-0.065,-0.065,0.593,"BeforeLatB1"
29,96,13,0,12,"SUBDIFFUSION",0.006094,1.548,0.551,2.265,0.679,0.035,0.234,0.453,1.13,0.087,0.468,0.442,0.414,0.06,0.053,0.053,0.511,"BeforeLatB1"
