"PARENT.ID","ID","LENGTH","START","END","CLASS","X.FIT..D","X..COG.","Y..COG.","FRACT..DIM.","TRAPPEDNESS","EFFICENCY","STRAIGHTNESS","SPEED","KURTOSIS","X.FIT..ALPHA","GAUSSIANITY","Asymmetry","MSDRatio","Loc..noise_sigma","Fit.Goodness","Alpha.Fit.Goodness","Confidence","COND"
18,31,11,1,11,"DIRECTED/ACTIVE",0.05281,4.825,3.702,1.314,0.637,0.112,0.436,0.67,1.036,1.121,0.635,0.571,0.029,0.028,0.998,0.981,0.596,"BeforeNoco1"
20,35,29,0,28,"DIRECTED/ACTIVE",0.06363,4.899,3.508,1.239,0.493,0.135,0.469,0.836,1.997,1.258,0.415,0.526,-0.068,0.046,0.958,0.991,0.611,"BeforeNoco1"
20,37,10,42,51,"DIRECTED/ACTIVE",0.08963,4.18,3.12,1.165,0.659,0.252,0.641,1.519,1.416,1.106,0.233,0.567,0.022,0.033,1,0.968,0.699,"BeforeNoco1"
26,43,13,4,16,"DIRECTED/ACTIVE",0.0442,6.945,6.108,1.348,0.078,0.1,0.395,0.682,2.277,0.725,0.389,0.342,0.026,0.036,0.5,0.847,0.632,"BeforeNoco1"
33,58,17,0,16,"DIRECTED/ACTIVE",0.05734,1.068,0.602,1.213,0.61,0.148,0.477,1.028,1.26,1.446,0.795,0.642,-0.1,0.052,0.984,0.994,0.638,"BeforeNoco1"
46,83,13,38,50,"DIRECTED/ACTIVE",0.0408,1.511,7.068,1.329,0.509,0.194,0.541,0.805,1.852,0.893,0.24,0.586,0.16,0.042,0.97,0.997,0.6,"BeforeNoco1"
63,102,15,21,35,"DIRECTED/ACTIVE",0.1321,0.125,2.645,1.39,0.823,0.018,0.194,0.437,1.304,1.074,0.66,0.527,-0.11,0.04,0.887,0.865,0.614,"BeforeNoco1"
68,107,12,22,33,"DIRECTED/ACTIVE",0.03447,0.29,5.79,1.445,0.458,0.085,0.352,0.57,1.614,0.318,0.034,0.472,0.32,0.042,-1.522,0.655,0.496,"BeforeNoco1"
70,108,13,19,31,"DIRECTED/ACTIVE",0.08424,6.394,6.031,1.258,0.625,0.24,0.6,1.202,1.749,1.156,0.449,0.493,-0.088,0.025,0.934,0.963,0.73,"BeforeNoco1"
74,123,14,25,38,"DIRECTED/ACTIVE",0.08952,3.646,2.8,1.286,0.757,0.098,0.384,0.74,1.495,1.117,0.103,0.592,0.14,0.028,0.916,0.96,0.581,"BeforeNoco1"
84,144,17,28,44,"DIRECTED/ACTIVE",0.1267,6.652,5.553,1.363,0.662,0.121,0.456,1.169,1.325,1.083,0.364,0.379,-0.041,0.034,0.948,0.977,0.614,"BeforeNoco1"
87,152,22,38,59,"DIRECTED/ACTIVE",0.08613,1.104,6.964,1.404,0.921,0.056,0.341,0.522,1.179,1.12,1.611,0.437,-0.012,0.022,0.947,0.966,0.605,"BeforeNoco1"
89,159,11,35,45,"DIRECTED/ACTIVE",0.05145,1.451,6.022,1.475,0.346,0.005,0.088,0.152,2.091,0.087,0.344,0.401,-0.031,0.042,-1.17,-0.043,0.632,"BeforeNoco1"
92,171,13,32,44,"DIRECTED/ACTIVE",0.04798,2.086,5.369,1.384,0.759,0.124,0.452,0.663,1.401,1.007,0.875,0.249,-0.072,0.037,0.964,0.989,0.554,"BeforeNoco1"
100,183,14,37,50,"DIRECTED/ACTIVE",0.06866,6.366,5.694,1.295,0.61,0.118,0.452,0.866,1.205,1.16,0.237,0.474,-0.066,0.05,0.993,0.994,0.607,"BeforeNoco1"
104,196,15,39,53,"DIRECTED/ACTIVE",0.06113,1.931,7.435,1.13,0.518,0.34,0.738,1.392,1.907,1.311,0.32,0.621,-0.003,0.049,0.999,0.954,0.637,"BeforeNoco1"
110,207,13,43,55,"DIRECTED/ACTIVE",0.1485,7.12,7.123,1.333,0.658,0.174,0.524,1.47,1.256,0.908,0.275,0.504,-0.084,0.087,0.717,0.938,0.651,"BeforeNoco1"
112,212,15,46,60,"DIRECTED/ACTIVE",0.04098,3.584,3.621,1.032,0.44,0.591,0.922,2.797,2.021,1.861,0.058,0.665,-0.156,0.116,0.997,0.997,0.714,"BeforeNoco1"
122,225,26,74,99,"DIRECTED/ACTIVE",0.07741,4.705,7.357,1.372,0.728,0.04,0.284,0.415,1.766,1.172,0.881,0.467,-0.06,0.024,0.931,0.982,0.594,"BeforeNoco1"
126,229,18,59,76,"DIRECTED/ACTIVE",0.01241,2.407,4.027,1.071,0.388,0.562,0.806,3.783,1.457,1.933,-0.226,0.509,-0.157,0.18,0.998,1,0.708,"BeforeNoco1"
127,230,11,60,70,"DIRECTED/ACTIVE",0.05984,3.073,6.116,1.431,0.807,0.168,0.481,0.952,1.087,1.166,0.259,0.452,-0.072,0.057,1,0.997,0.562,"BeforeNoco1"
132,237,13,62,74,"DIRECTED/ACTIVE",0.05247,3.074,1.603,1.143,0.651,0.208,0.68,1.045,2.856,1.482,0.448,0.667,-0.143,0.042,1,0.984,0.604,"BeforeNoco1"
135,246,12,66,77,"DIRECTED/ACTIVE",0.05404,1.53,6.043,1.358,0.744,0.177,0.519,0.841,1.178,1.244,0.375,0.478,-0.045,0.05,0.994,0.98,0.601,"BeforeNoco1"
136,248,15,68,82,"DIRECTED/ACTIVE",0.02365,1.293,6.608,1.331,0.596,0.079,0.348,0.488,1.323,1.217,-0.038,0.59,-0.081,0.025,0.93,0.961,0.673,"BeforeNoco1"
142,253,12,70,81,"DIRECTED/ACTIVE",0.04924,7.11,4.453,1.407,0.91,0.083,0.38,0.532,1.383,1.015,0.304,0.528,0.099,0.043,0.841,0.934,0.524,"BeforeNoco1"
153,269,13,72,84,"DIRECTED/ACTIVE",0.1563,1.268,2.794,1.397,0.715,0.102,0.413,1.1,1.614,1.078,0.078,0.342,0.088,0.043,1,0.996,0.692,"BeforeNoco1"
166,298,12,108,119,"DIRECTED/ACTIVE",0.01339,4.027,6.493,1.377,0.554,0.139,0.434,0.691,1.164,1.23,-0.198,0.583,0.007,0.044,0.938,0.924,0.604,"BeforeNoco1"
175,308,29,85,113,"DIRECTED/ACTIVE",0.1061,2.572,1.236,1.279,0.515,0.147,0.483,1.054,1.979,1.312,0.362,0.238,-0.093,0.05,0.984,0.995,0.66,"BeforeNoco1"
180,312,11,85,95,"DIRECTED/ACTIVE",0.165,0.291,5.327,1.559,0.404,0.097,0.354,1.216,1.836,0.862,-0.27,0.353,-0.003,0.052,-0.042,0.862,0.71,"BeforeNoco1"
191,323,11,94,104,"DIRECTED/ACTIVE",0.03808,0.876,5.971,1.397,0.979,0.096,0.441,0.816,1.611,0.863,1.64,0.667,0.062,0.047,1,0.522,0.584,"BeforeNoco1"
197,327,13,106,118,"DIRECTED/ACTIVE",0.08897,2.105,4.378,1.367,0.669,0.107,0.454,0.858,1.204,1.034,0.357,0.354,-0.021,0.025,0.996,0.983,0.58,"BeforeNoco1"
207,346,11,126,136,"DIRECTED/ACTIVE",0.05077,5.389,7.16,1.256,0.535,0.156,0.498,0.775,1.115,1.093,0.21,0.575,-0.062,0.026,0.998,0.986,0.632,"BeforeNoco1"
209,351,12,112,123,"DIRECTED/ACTIVE",0.03189,3.387,0.56,1.342,0.696,0.095,0.445,0.56,1.076,1.236,2.48,0.521,-0.07,0.018,0.97,0.963,0.56,"BeforeNoco1"
215,371,13,109,121,"DIRECTED/ACTIVE",0.08878,4.711,6.329,1.497,0.956,0.074,0.338,0.626,1.905,1.336,-0.132,0.045,-0.094,0.051,0.898,0.966,0.55,"BeforeNoco1"
216,374,25,129,153,"DIRECTED/ACTIVE",0.02048,1.547,2.293,1.563,0.692,0.002,0.047,0.063,1.937,1.171,-0.133,0.482,-0.035,0.023,0.984,0.985,0.627,"BeforeNoco1"
217,379,11,147,157,"DIRECTED/ACTIVE",0.03128,5.869,2.862,1.132,0.541,0.425,0.745,1.265,1.313,1.563,-0.15,0.62,-0.12,0.047,1,0.996,0.651,"BeforeNoco1"
219,383,15,122,136,"DIRECTED/ACTIVE",0.04141,0.555,6.779,1.353,0.852,0.103,0.465,0.591,0.973,1.286,1.054,0.501,-0.085,0.028,0.999,0.998,0.575,"BeforeNoco1"
228,392,14,129,142,"DIRECTED/ACTIVE",0.09331,1.8,7.48,1.405,0.925,0.071,0.388,0.704,1.691,0.977,0.87,0.547,-0.029,0.041,0.986,0.869,0.567,"BeforeNoco1"
253,441,16,139,154,"DIRECTED/ACTIVE",0.1742,5.762,3.958,1.411,0.759,0.147,0.448,1.29,1.086,1.343,0.284,0.48,-0.076,0.05,0.899,0.981,0.581,"BeforeNoco1"
256,450,12,143,154,"DIRECTED/ACTIVE",0.06289,0.73,6.643,1.399,0.866,0.101,0.421,0.841,1.13,1.393,0.382,0.319,0.055,0.058,0.997,0.996,0.55,"BeforeNoco1"
268,467,11,145,155,"DIRECTED/ACTIVE",0.09316,2.8,1.716,1.157,0.548,0.279,0.732,1.434,1.436,1.046,0.743,0.584,-0.097,0.029,1,0.999,0.613,"BeforeNoco1"
269,470,16,161,176,"DIRECTED/ACTIVE",0.0524,4.377,2.725,1.675,0.873,0.0005734,0.03,0.045,1.364,1.168,0.061,0.438,-0.086,0.053,0.684,0.905,0.617,"BeforeNoco1"
286,496,14,169,182,"DIRECTED/ACTIVE",0.04963,4.663,4.329,1.281,0.769,0.169,0.523,1.053,1.836,1.515,1.27,0.345,-0.11,0.047,1,0.999,0.588,"BeforeNoco1"
302,519,11,189,199,"DIRECTED/ACTIVE",0.05463,3.804,0.211,1.412,0.579,0.152,0.467,0.819,1.999,0.779,0.123,0.483,-0.051,0.044,0.949,0.997,0.642,"BeforeNoco1"
303,520,12,178,189,"DIRECTED/ACTIVE",0.04985,5.49,0.81,1.402,0.42,0.152,0.496,0.966,1.173,0.978,0.206,0.549,-0.082,0.02,0.895,0.898,0.64,"BeforeNoco1"
306,528,12,175,186,"DIRECTED/ACTIVE",0.05413,1.57,7.227,1.354,0.745,0.101,0.439,0.691,1.233,1.097,0.954,0.592,0.001,0.042,0.995,0.995,0.597,"BeforeNoco1"
307,530,13,182,194,"DIRECTED/ACTIVE",0.1002,1.88,3.123,1.315,0.722,0.153,0.552,1.083,1.142,1.206,0.91,0.426,-0.039,0.053,1,0.976,0.602,"BeforeNoco1"
345,602,13,210,222,"DIRECTED/ACTIVE",0.04171,3.517,3.834,1.27,0.49,0.22,0.516,1.125,1.654,1.404,-0.398,0.575,-0.133,0.065,0.985,0.986,0.612,"BeforeNoco1"
363,624,11,227,237,"DIRECTED/ACTIVE",0.03128,6.105,0.687,1.378,0.729,0.088,0.339,0.49,1.616,0.926,-0.246,0.4,0.045,0.03,1,0.922,0.774,"BeforeNoco1"
368,630,11,243,253,"DIRECTED/ACTIVE",0.04012,7.92,0.262,1.29,0.907,0.121,0.596,0.642,3.419,0.959,1.434,0.479,-0.021,0.036,1,0.958,0.522,"BeforeNoco1"
382,641,13,237,249,"DIRECTED/ACTIVE",0.02006,4.978,6.372,1.493,0.655,0.097,0.354,0.432,1.87,1.007,-0.1,0.569,-0.047,0.022,0.983,0.967,0.568,"BeforeNoco1"
388,647,14,261,274,"DIRECTED/ACTIVE",0.07278,0.823,6.466,1.45,0.757,0.106,0.415,0.785,1.254,1.023,0.161,0.478,-0.054,0.036,0.999,0.994,0.6,"BeforeNoco1"
395,653,11,249,259,"DIRECTED/ACTIVE",0.0578,4.855,2.676,1.245,0.733,0.316,0.636,1.587,2.047,1.451,-0.256,0.352,-0.128,0.065,1,0.996,0.63,"BeforeNoco1"
399,658,11,251,261,"DIRECTED/ACTIVE",0.05939,6.764,1.887,1.47,0.272,0.027,0.208,0.397,2.022,0.755,0.524,0.398,0.193,0.029,-2.194,0.802,0.784,"BeforeNoco1"
401,667,10,261,270,"DIRECTED/ACTIVE",0.007888,5.084,3.26,1.44,-0.227,0.147,0.452,0.378,2.792,0.899,-0.149,0.385,Inf,0.017,-20.083,0.353,0.611,"BeforeNoco1"
402,671,17,261,277,"DIRECTED/ACTIVE",0.04818,1.511,3.268,1.438,0.627,0.077,0.37,0.514,3.716,1.164,0.238,0.214,-0.074,0.033,0.906,0.956,0.583,"BeforeNoco1"
404,675,11,256,266,"DIRECTED/ACTIVE",0.07661,0.153,3.724,1.29,0.649,0.131,0.518,0.887,1.797,0.924,0.453,0.309,-0.094,0.012,0.986,0.999,0.558,"BeforeNoco1"
406,681,19,273,291,"DIRECTED/ACTIVE",0.09622,6.766,5.343,1.818,0.674,0.034,0.231,0.53,1.602,0.86,0.146,0.17,0.046,0.031,0.955,0.965,0.571,"BeforeNoco1"
413,690,12,267,278,"DIRECTED/ACTIVE",0.02691,1.903,3.807,1.158,0.536,0.355,0.698,1.759,1.53,1.711,-0.094,0.603,-0.137,0.075,0.986,0.982,0.714,"BeforeNoco1"
426,697,11,269,279,"DIRECTED/ACTIVE",0.09225,0.68,1.88,1.427,0.62,0.12,0.44,0.954,2.565,0.991,0.108,0.232,0.095,0.042,0.922,0.963,0.808,"BeforeNoco1"
428,699,13,270,282,"DIRECTED/ACTIVE",0.08149,5.483,1.305,1.21,0.612,0.16,0.547,1.042,1.601,1.094,0.589,0.54,-0.097,0.03,1,0.987,0.647,"BeforeNoco1"
436,714,18,275,292,"DIRECTED/ACTIVE",0.01521,7.473,0.849,1.234,0.347,0.183,0.535,0.681,1.48,1.327,0.147,0.618,-0.102,0.026,0.971,0.976,0.699,"BeforeNoco1"
440,718,11,278,288,"DIRECTED/ACTIVE",0.02924,4.796,0.982,1.359,0.941,0.159,0.539,0.819,3.292,1.295,0.184,0.355,-0.086,0.04,1,0.959,0.608,"BeforeNoco1"
456,732,13,287,299,"DIRECTED/ACTIVE",0.09271,4,0.332,1.063,0.47,0.474,0.863,2.116,1.646,1.552,0.859,0.625,-0.128,0.075,0.997,0.998,0.636,"BeforeNoco1"
3,3,16,4,19,"NORM. DIFFUSION",9.476e-13,4.148,0.358,2.493,0.897,0.005,0.079,0.091,1.792,1.031e-11,-0.074,0.045,5.2,0.025,-0.065,-0.065,0.697,"BeforeNoco1"
4,5,43,0,42,"NORM. DIFFUSION",0.01067,4.793,0.371,1.953,0.994,0.008,0.114,0.147,1.923,0.545,0.675,0.33,0.061,0.022,0.333,0.545,0.577,"BeforeNoco1"
8,10,53,42,94,"NORM. DIFFUSION",0.003879,7.285,1.675,2.002,0.422,0.008,0.106,0.083,2.318,0.626,0.212,0.118,0.11,0.015,0.677,0.858,0.599,"BeforeNoco1"
10,17,41,0,40,"NORM. DIFFUSION",0.001509,7.09,1.956,1.677,0.992,0.007,0.134,0.129,4.848,0.198,2.061,0.47,0.853,0.028,0.018,0.107,0.585,"BeforeNoco1"
13,21,26,2,27,"NORM. DIFFUSION",0.008941,7.271,2.502,1.963,0.863,0.007,0.103,0.122,2.833,0.35,0.347,0.094,0.275,0.019,0.245,0.332,0.572,"BeforeNoco1"
13,23,10,64,73,"NORM. DIFFUSION",2.805e-13,7.38,2.7,2.791,0.688,0.002,0.048,0.076,1.828,4.574e-12,0.102,0.255,0.433,0.046,-0.143,-0.143,0.551,"BeforeNoco1"
15,24,41,0,40,"NORM. DIFFUSION",0.009596,2.241,2.512,1.941,0.971,0.005,0.082,0.087,2.23,0.728,0.554,0.138,0.076,0.018,0.573,0.856,0.597,"BeforeNoco1"
17,30,16,5,20,"NORM. DIFFUSION",0.01976,4.435,3.31,1.578,0.812,0.032,0.252,0.264,2.382,0.842,0.198,0.216,0.147,0.023,0.684,0.884,0.661,"BeforeNoco1"
20,36,13,29,41,"NORM. DIFFUSION",0.02116,4.185,3.428,1.792,0.993,0.068,0.308,0.305,1.165,1.143,-0.229,0.373,0.717,0.015,0.832,0.921,0.636,"BeforeNoco1"
23,38,17,0,16,"NORM. DIFFUSION",0.01207,7.609,5.798,2.318,0.977,0.011,0.128,0.213,1.828,0.422,-0.056,0.084,0.35,0.031,0.498,0.722,0.624,"BeforeNoco1"
25,42,32,15,46,"NORM. DIFFUSION",0.02932,1.432,6.174,1.581,0.648,0.028,0.241,0.374,1.399,0.622,1.299,0.514,0.16,0.026,0.899,0.937,0.587,"BeforeNoco1"
28,50,21,8,28,"NORM. DIFFUSION",0.02018,4.484,6.737,2.036,0.984,0.002,0.049,0.076,1.96,0.568,0.012,0.319,0.103,0.025,0.354,0.355,0.555,"BeforeNoco1"
28,52,39,36,74,"NORM. DIFFUSION",0.00462,4.29,6.596,1.842,0.98,0.0009787,0.037,0.04,2.239,0.438,0.097,0.363,0.074,0.01,0.128,0.274,0.587,"BeforeNoco1"
31,57,15,17,31,"NORM. DIFFUSION",0.006459,0.805,7.045,1.64,0.95,0.012,0.178,0.194,1.614,0.283,2.664,0.499,0.284,0.026,0.171,0.284,0.518,"BeforeNoco1"
35,69,14,16,29,"NORM. DIFFUSION",0.005741,1.291,7.434,2.261,0.662,0.021,0.188,0.222,1.284,0.302,0.763,0.147,0.051,0.02,0.372,0.544,0.66,"BeforeNoco1"
36,73,11,13,23,"NORM. DIFFUSION",0.04407,1.8,7.418,1.992,0.99,0.043,0.267,0.518,1.044,0.699,0.49,0.319,0.154,0.043,0.53,0.742,0.564,"BeforeNoco1"
39,77,11,10,20,"NORM. DIFFUSION",0.02312,4.865,2.713,2.049,0.823,0.035,0.218,0.215,1.938,1.056,-0.27,0.245,0.32,0.018,0.84,0.858,0.631,"BeforeNoco1"
46,81,11,7,17,"NORM. DIFFUSION",0.1806,1.429,6.818,1.824,0.991,0.013,0.152,0.34,2.558,1.275,0.368,0.349,0.929,0.055,0.996,1,0.561,"BeforeNoco1"
46,84,14,51,64,"NORM. DIFFUSION",0.06834,1.283,7.346,1.71,0.963,0.002,0.05,0.117,3.089,0.796,0.12,0.163,0.07,0.021,0.371,0.633,0.666,"BeforeNoco1"
59,92,12,17,28,"NORM. DIFFUSION",0.05847,6.95,4.24,1.739,0.925,0.056,0.294,0.45,2.198,1.097,0.277,0.097,0.15,0.024,0.996,0.998,0.638,"BeforeNoco1"
61,96,11,18,28,"NORM. DIFFUSION",0.0154,4.382,2.549,1.853,0.989,0.026,0.192,0.192,3.22,0.939,0.054,0.117,0.033,0.023,0.664,0.834,0.804,"BeforeNoco1"
62,100,38,32,69,"NORM. DIFFUSION",0.008896,0.151,5.155,2.242,0.92,0.002,0.052,0.066,2.051,0.57,0.27,0.157,0.148,0.026,0.415,0.718,0.642,"BeforeNoco1"
66,104,30,23,52,"NORM. DIFFUSION",0.03552,4.827,3.452,1.983,0.995,0.0004975,0.028,0.052,2.02,0.643,0.306,0.147,0.013,0.039,0.436,0.51,0.659,"BeforeNoco1"
67,105,12,20,31,"NORM. DIFFUSION",0.1067,2.137,4.733,1.672,0.25,0.092,0.382,0.752,2.478,1.06,0.069,0.258,0.024,0.068,0.772,0.754,0.687,"BeforeNoco1"
71,110,10,24,33,"NORM. DIFFUSION",1.541e-11,2.796,6.288,1.525,0.818,0.015,0.164,0.385,1.729,1.605e-11,1.22,0.615,0.556,0.055,-0.143,-0.143,0.585,"BeforeNoco1"
72,117,19,26,44,"NORM. DIFFUSION",0.02556,4.861,7.274,2.38,0.998,0.009,0.109,0.16,2.18,0.718,-0.259,0.068,0.183,0.039,0.724,0.823,0.625,"BeforeNoco1"
73,120,33,20,52,"NORM. DIFFUSION",0.03501,0.632,0.303,1.868,0.845,0.018,0.164,0.235,3.051,0.825,0.363,0.207,0.032,0.018,0.808,0.941,0.612,"BeforeNoco1"
76,126,13,25,37,"NORM. DIFFUSION",0.03783,0.932,5.166,1.498,0.784,0.107,0.438,0.789,1.739,0.606,0.409,0.519,0.507,0.04,0.719,0.773,0.523,"BeforeNoco1"
77,128,25,24,48,"NORM. DIFFUSION",0.03781,5.19,5.565,2.153,0.978,0.022,0.174,0.292,2.088,0.739,0.062,0.155,0.055,0.027,0.598,0.742,0.621,"BeforeNoco1"
80,132,25,27,51,"NORM. DIFFUSION",0.01067,5.304,6.811,1.832,0.99,0.009,0.12,0.142,4.877,0.561,0.019,0.105,0.13,0.023,0.502,0.61,0.559,"BeforeNoco1"
81,134,11,27,37,"NORM. DIFFUSION",4.052e-10,1.127,0.985,1.579,0.857,0.008,0.136,0.245,2.039,1.584e-11,0.655,0.36,-0.064,0.027,-0.125,-0.125,0.597,"BeforeNoco1"
83,142,13,38,50,"NORM. DIFFUSION",0.06663,6.871,4.262,2.003,0.996,0.029,0.204,0.457,2.619,0.846,0.025,0.007,0.388,0.042,0.752,0.864,0.714,"BeforeNoco1"
86,148,12,27,38,"NORM. DIFFUSION",0.07419,5.52,7.177,1.547,0.719,0.041,0.268,0.57,3.054,0.79,0.48,0.283,-0.083,0.059,0.997,0.996,0.641,"BeforeNoco1"
91,170,11,28,38,"NORM. DIFFUSION",0.08259,0.833,7.775,1.521,0.844,0.024,0.212,0.414,2.017,0.904,0.287,0.43,0.114,0.062,0.999,1,0.578,"BeforeNoco1"
94,174,12,35,46,"NORM. DIFFUSION",0.04325,1.383,0.117,1.635,0.503,0.08,0.327,0.618,2.313,0.777,-0.254,0.081,-0.036,0.032,0.842,0.91,0.656,"BeforeNoco1"
97,176,15,37,51,"NORM. DIFFUSION",0.005853,6.792,1.613,1.927,0.988,0.027,0.199,0.283,1.65,0.351,0.222,0.048,0.723,0.02,0.037,0.258,0.556,"BeforeNoco1"
99,180,12,44,55,"NORM. DIFFUSION",0.003827,0.003,3.783,2.094,0.642,0.006,0.101,0.087,1.553,0.225,0.384,0.545,0.648,0.011,0.033,-0.015,0.492,"BeforeNoco1"
101,187,18,39,56,"NORM. DIFFUSION",0.09618,2.778,1.593,2.048,0.986,0.025,0.205,0.52,1.369,0.834,0.123,0.232,0.025,0.04,0.779,0.922,0.726,"BeforeNoco1"
103,193,26,39,64,"NORM. DIFFUSION",0.02724,4.94,3.305,2.024,0.991,0.009,0.117,0.174,1.875,0.743,0.31,0.096,-0.018,0.031,0.449,0.6,0.542,"BeforeNoco1"
105,201,55,102,156,"NORM. DIFFUSION",0.01403,0.933,1.088,1.785,0.71,0.003,0.082,0.114,1.631,0.522,1.17,0.325,0.272,0.038,0.363,0.57,0.587,"BeforeNoco1"
106,205,21,40,60,"NORM. DIFFUSION",0.03848,1.844,3.086,1.693,0.88,0.014,0.147,0.238,1.973,0.807,0.551,0.251,0.302,0.033,0.723,0.849,0.611,"BeforeNoco1"
115,214,13,80,92,"NORM. DIFFUSION",0.07949,3.871,0.434,1.667,0.873,0.016,0.159,0.305,1.374,0.994,0.286,0.453,0.031,0.029,0.986,0.994,0.606,"BeforeNoco1"
116,215,13,48,60,"NORM. DIFFUSION",1.927e-12,0.228,5.858,1.82,0.953,0,0,0,4.526,1.078e-11,0.53,0.385,5.022,0.047,-0.087,-0.087,0.487,"BeforeNoco1"
119,217,11,56,66,"NORM. DIFFUSION",0.07421,7.156,2.12,1.751,0.763,0.067,0.306,0.481,3.154,1.185,-0.037,0.15,0.072,0.029,0.836,0.869,0.532,"BeforeNoco1"
122,224,13,61,73,"NORM. DIFFUSION",0.002482,4.831,7.308,2.382,0.999,0.003,0.059,0.113,2.196,0.148,0.123,0.151,1.494,0.034,-0.083,-0.048,0.628,"BeforeNoco1"
122,226,24,100,123,"NORM. DIFFUSION",0.03304,4.322,7.052,1.844,0.246,0.02,0.166,0.314,1.804,0.67,-0.094,0.156,0.024,0.028,0.663,0.784,0.648,"BeforeNoco1"
125,228,17,59,75,"NORM. DIFFUSION",0.04398,0.376,2.047,1.643,0.526,0.037,0.248,0.475,1.317,0.438,1.125,0.477,0.007,0.045,0.409,0.328,0.577,"BeforeNoco1"
128,231,21,58,78,"NORM. DIFFUSION",0.001956,6.01,7.427,2.234,-0.227,0.001,0.046,0.034,1.511,0.314,0.88,0.352,0.293,0.014,0.373,0.412,0.589,"BeforeNoco1"
129,235,11,60,70,"NORM. DIFFUSION",0.1186,0.851,7.789,1.837,0.99,0.001,0.052,0.096,3.022,1.058,1.278,0.518,15.4,0.035,0.994,0.997,0.606,"BeforeNoco1"
130,236,11,61,71,"NORM. DIFFUSION",0.07756,0.316,0.56,1.354,0.583,0.211,0.548,1.355,1.554,0.791,0.101,0.476,-0.038,0.073,0.934,0.971,0.564,"BeforeNoco1"
140,251,27,63,89,"NORM. DIFFUSION",0.1428,5.649,3.822,1.978,0.994,0.013,0.141,0.34,1.739,1.072,0.005,0.214,-0.072,0.054,0.842,0.953,0.746,"BeforeNoco1"
143,254,11,68,78,"NORM. DIFFUSION",0.02867,2.127,5.549,1.847,0.84,0.001,0.045,0.068,1.04,0.665,0.18,0.479,0.011,0.033,0.998,1,0.617,"BeforeNoco1"
145,258,16,67,82,"NORM. DIFFUSION",0.09,1.077,7.16,2.023,0.978,0.012,0.134,0.29,2.509,0.877,0.41,0.017,-0.039,0.034,0.749,0.862,0.636,"BeforeNoco1"
150,268,17,82,98,"NORM. DIFFUSION",0.0001799,4.136,2.729,2.635,0.997,0.001,0.043,0.06,1.551,0.079,0.357,0.414,1.3,0.022,-0.059,-0.031,0.574,"BeforeNoco1"
