PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) CONF. RADIUS,(FIT) A [CONF. SHAPE],(FIT) B (CONF SHAPE),(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
167,399,10,98,107,CONFINED,0.052,0.009,0.007,5.777E-12,0.020,1.208,5.057,-0.227,0.000,0.000,0.000,1.611,3.121E-12,-0.222,0.182,Infinity,0.032,-0.444,-0.143,0.719
167,401,11,132,142,CONFINED,0.155,0.015,0.011,4.963E-12,0.051,1.167,3.550,0.892,0.003,0.060,0.136,2.030,1.830E-14,-0.125,0.242,0.304,0.059,-0.364,-0.125,0.670
180,434,17,99,115,CONFINED,5.810,1.000,0.093,1.261E-1,5.527,0.089,3.278,-0.227,0.013,0.129,0.213,1.659,0.354,-0.179,0.067,0.362,0.050,0.515,0.541,0.824
186,457,13,88,100,CONFINED,0.052,0.018,0.018,7.585E-12,5.538,0.815,4.252,-0.227,0.000,0.000,0.000,1.836,5.689E-11,-0.333,0.033,1.800,0.021,-0.222,-0.087,0.689
189,466,12,88,99,CONFINED,0.065,0.009,0.011,1.031E-11,3.623,1.357,2.591,-0.227,0.005,0.090,0.087,2.031,1.758E-11,-0.255,0.107,5.618,0.035,-0.267,-0.105,0.657
192,475,11,93,103,CONFINED,0.069,0.022,0.043,9.399E-9,4.335,2.495,3.363,-0.227,0.015,0.140,0.152,1.521,1.347E-10,-0.285,0.085,1.040,0.033,-0.364,-0.125,0.738
197,491,13,97,109,CONFINED,0.053,0.014,0.021,4.707E-11,7.671,0.354,4.136,-0.227,0.006,0.096,0.080,1.573,1.748E-11,-0.167,0.309,0.800,0.031,-0.222,-0.087,0.783
198,492,11,96,106,CONFINED,0.266,1.669,0.647,3.887E-1,5.109,1.335,2.669,1.000,0.003,0.065,0.136,1.288,0.887,-0.236,0.032,0.149,0.041,1.000,0.813,0.671
203,513,16,157,172,CONFINED,0.063,0.016,0.017,8.738E-11,2.165,3.963,3.509,0.993,0.003,0.072,0.064,2.101,7.252E-12,-0.259,0.035,0.520,0.032,-0.154,-0.065,0.743
203,515,16,184,199,CONFINED,0.060,0.026,0.059,5.053E-12,2.178,3.933,2.855,0.692,0.004,0.068,0.064,1.997,9.721E-12,-0.187,0.095,0.933,0.030,-0.154,-0.065,0.761
216,535,10,123,132,CONFINED,0.068,0.014,0.021,7.889E-12,3.164,7.360,4.349,-0.227,0.017,0.146,0.169,1.012,2.233E-11,-0.365,0.029,0.606,0.034,-0.444,-0.143,0.748
231,571,29,212,240,CONFINED,0.070,0.254,1.411,6.617E-3,0.825,1.092,3.146,-0.227,0.002,0.050,0.049,2.674,0.027,-0.018,0.213,0.514,0.038,0.051,-0.017,0.753
242,580,10,194,203,CONFINED,0.051,0.014,0.022,1.499E-12,1.680,3.388,3.367,-0.227,0.007,0.095,0.076,1.409,3.001E-11,-0.280,0.031,0.633,0.026,-0.444,-0.143,0.799
277,657,12,153,164,CONFINED,0.169,0.011,0.009,5.854E-12,7.830,0.330,2.751,-0.227,0.010,0.118,0.333,2.007,1.340E-11,-0.065,0.034,4.109,0.092,-0.267,-0.105,0.859
324,741,26,184,209,CONFINED,0.090,0.347,0.116,5.013E-4,4.232,0.863,3.366,-0.227,4.322E-4,0.025,0.027,2.677,3.445E-12,-0.106,0.071,0.987,0.039,-0.068,-0.031,0.688
333,751,18,193,210,CONFINED,0.065,0.164,2.405,6.481E-3,1.389,3.144,3.379,-0.227,0.006,0.096,0.089,1.930,0.027,-0.222,0.066,0.749,0.032,-0.105,-0.048,0.789
393,858,14,227,240,CONFINED,0.179,0.011,0.032,3.192E-12,2.460,1.463,3.355,-0.227,0.016,0.148,0.422,1.906,6.830E-13,0.018,0.273,0.685,0.106,-0.211,-0.083,0.690
409,890,10,269,278,CONFINED,0.151,0.808,0.300,1.119E-1,5.796,2.436,2.440,0.790,0.045,0.234,0.378,1.802,0.386,-0.415,0.208,0.564,0.045,1.000,0.958,0.793
428,909,10,284,293,CONFINED,0.062,0.031,5.446E-7,2.52E-4,7.708,7.716,2.759,-0.227,0.009,0.123,0.107,1.768,2.363E-10,-0.132,0.008,0.411,0.024,-0.444,-0.143,0.644
484,992,11,287,297,CONFINED,0.096,0.011,0.011,2.342E-11,6.553,4.120,3.159,-0.227,0.006,0.083,0.136,2.187,9.139E-12,-0.421,0.063,0.900,0.052,-0.364,-0.125,0.744
