Time,004_Cond1_cell1,004_Cond1_cell2,004_Cond1_cell3,004_Cond1_cell4,004_Cond1_cell5,005_Cond1_cell1,005_Cond1_cell2,005_Cond1_cell3,005_Cond1_cell4
30.4998,1.108154836,1.195691914,1.22744967,1.135079602,1.04892989,1.329359608,1.195357733,1.285430767,1.20435663
30.9994,1.105410987,1.192010227,1.224559514,1.132259827,1.045552221,1.333551517,1.19772242,1.288763734,1.202069288
31.4996,1.110568242,1.194976031,1.231781809,1.133119604,1.046157361,1.329262122,1.198813632,1.287237387,1.196795942
31.9993,1.105104148,1.188079259,1.22025213,1.130766148,1.04500883,1.335580159,1.201422126,1.290358256,1.193000022
32.5003,1.110066678,1.199539789,1.230036576,1.135028598,1.048738468,1.329563865,1.194820412,1.287642645,1.188959349
33.0008,1.110107984,1.196490892,1.231243386,1.132675143,1.044508663,1.326903883,1.198214768,1.289328066,1.191754
33.5,1.112226353,1.197909875,1.236485274,1.135334621,1.049108962,1.326374672,1.197059645,1.288222127,1.189279754
34.0001,1.109346787,1.191371045,1.230661641,1.131873657,1.046873649,1.329712416,1.193980107,1.285862538,1.193769886
34.5005,1.109175665,1.199105145,1.237685895,1.13721447,1.052418707,1.329276049,1.194396709,1.286525344,1.201860134
34.9994,1.108762613,1.199284116,1.232239778,1.135990382,1.048176553,1.333138361,1.19367239,1.284233929,1.192813119
35.4998,1.111583171,1.197155641,1.229603362,1.133323618,1.047009497,1.327474874,1.190571549,1.283165864,1.189996217
35.9994,1.109978167,1.196407798,1.227573445,1.136806441,1.048411199,1.324814892,1.19147103,1.286097361,1.185626238
36.4998,1.108750811,1.193486737,1.226168594,1.137484061,1.046354958,1.328018012,1.189454299,1.283003003,1.197605856
37.0007,1.108620995,1.193467562,1.225871534,1.133549492,1.048355625,1.332056728,1.192604849,1.284809623,1.199101084
37.5007,1.110349914,1.198024928,1.234647209,1.137170753,1.050566238,1.3354966,1.19163909,1.285317143,1.201464077
37.9998,1.109801145,1.192611058,1.228025225,1.134984881,1.049880824,1.326110067,1.189099241,1.285449704,1.197476804
38.4993,1.110190594,1.194694791,1.233075262,1.138198113,1.049985798,1.328073718,1.18793465,1.284552076,1.192390361
39.0002,1.114031982,1.199060403,1.242463626,1.137425771,1.051646845,1.326309681,1.185539191,1.282480334,1.188002581
39.5006,1.106951083,1.195314797,1.233093828,1.13512332,1.04711447,1.324629204,1.185872946,1.282400797,1.193756536
40.0003,1.116280168,1.200242889,1.241863315,1.139684506,1.052116137,1.322698048,1.184256248,1.281904639,1.185417084
40.4995,1.110048976,1.194285714,1.232307854,1.137258188,1.047515839,1.323371167,1.184597104,1.281442569,1.191304541
40.9993,1.115023308,1.202441675,1.239722,1.142445991,1.051924716,1.323074066,1.184753329,1.278988293,1.190721581
41.5002,1.108626896,1.197136465,1.227028833,1.137403913,1.048800217,1.324099993,1.187096713,1.281715266,1.196778141
42,1.113565823,1.201457335,1.238471869,1.140158111,1.049355958,1.325088782,1.18520307,1.282207636,1.197579156
42.5005,1.110467929,1.196375839,1.234579133,1.140223688,1.050368641,1.324912378,1.185823238,1.281389544,1.19783281
42.9993,1.11000177,1.196880793,1.22880501,1.141178185,1.050399516,1.327651278,1.183096391,1.278333062,1.194250495
43.5008,1.111642179,1.196842442,1.230228427,1.142387701,1.051436899,1.32247058,1.18079088,1.277602082,1.19286652
44.0002,1.112238154,1.200664749,1.237326947,1.144529855,1.051788868,1.323454727,1.180388481,1.277692981,1.192016554
44.4993,1.109594619,1.200319591,1.232802956,1.141935954,1.052468107,1.323134415,1.181796878,1.277219548,1.188865897
45.0002,1.108438072,1.197385746,1.227344461,1.140311122,1.049047213,1.322563424,1.180554175,1.277204398,1.19013417
45.4996,1.11314687,1.200767018,1.231849885,1.144916026,1.054802218,1.320924727,1.181576742,1.275814399,1.190178671
46.0006,1.10905765,1.198108022,1.230636886,1.144653721,1.051819742,1.319680616,1.179853527,1.276295407,1.188055982
46.4997,1.108603293,1.199814637,1.229844724,1.143079894,1.051146679,1.318849662,1.175625968,1.275037969,1.191980954
46.9997,1.111553667,1.201188878,1.235433183,1.146621006,1.052023514,1.319569204,1.175815332,1.273988842,1.19672919
47.5001,1.106260695,1.203496325,1.232524461,1.14490874,1.050356292,1.316937075,1.176409463,1.271996637,1.199350288
48.0007,1.10873901,1.202863535,1.236732825,1.143385916,1.054190903,1.318524708,1.175699346,1.271735302,1.200943417
48.5001,1.105688322,1.2,1.229281546,1.146686582,1.050461265,1.319406727,1.175216467,1.270083968,1.202638898
48.9993,1.108750811,1.202748482,1.238608022,1.146227549,1.053184395,1.317447717,1.175064976,1.269780971,1.194748904
49.5,1.112592199,1.205918824,1.237716839,1.145484353,1.050807059,1.314495277,1.173403303,1.270754349,1.193040073
50.0001,1.107901103,1.198817514,1.228377985,1.143750228,1.052048214,1.317503424,1.174766727,1.270383178,1.194619852
50.4992,1.111453355,1.204736337,1.236460519,1.145382345,1.052566905,1.318320451,1.172662415,1.269474187,1.197022896
50.9992,1.110084381,1.203195909,1.230042764,1.142555284,1.05106023,1.323087993,1.172307357,1.270682387,1.194913557
51.5,1.111063905,1.210425056,1.236281044,1.147050894,1.053073247,1.320947938,1.171819744,1.269084078,1.195558819
51.9999,1.10921107,1.20966443,1.234851439,1.146584575,1.050714436,1.32059513,1.169663358,1.266436641,1.189773713
52.5005,1.106644244,1.204308086,1.235402239,1.145666509,1.04896694,1.319564561,1.167159014,1.265713236,1.192733017
53,1.106526229,1.208066475,1.234498679,1.146351415,1.052832426,1.317313093,1.166429961,1.264171739,1.188216185
53.5,1.105888948,1.205004794,1.236107759,1.145979817,1.052128487,1.316992781,1.167208722,1.263944491,1.189190753
53.9999,1.106608839,1.205055928,1.233229981,1.144631863,1.051708594,1.318923938,1.167182685,1.265126179,1.187179316
54.5004,1.110450227,1.208916587,1.237289814,1.146526285,1.053437566,1.316389295,1.166373152,1.265361002,1.188158334
54.9999,1.106992388,1.204397571,1.232672992,1.145426063,1.050368641,1.317313093,1.16635895,1.264921656,1.188438689
55.5004,1.107895203,1.208187919,1.238298583,1.150089256,1.053128821,1.314495277,1.163411967,1.263489995,1.190761631
56.0001,1.107098602,1.20949185,1.23771065,1.149826952,1.051912366,1.317679827,1.164027401,1.262967326,1.195558819
56.5004,1.104224937,1.208002557,1.236646182,1.147917957,1.049615304,1.318682543,1.163838037,1.258187548,1.195977127
56.9993,1.102543223,1.203157558,1.227152609,1.147604649,1.049022514,1.314267809,1.163890112,1.258161035,1.189755913
57.5002,1.105711925,1.206359859,1.23303194,1.147619221,1.049473281,1.31747557,1.161515956,1.257657303,1.194468549
57.9992,1.103257214,1.201706616,1.220753421,1.14570294,1.045465773,1.315460855,1.162694749,1.256490764,1.192443762
58.5005,1.104042013,1.205465005,1.230302693,1.147925243,1.048083929,1.312926212,1.162110087,1.258172398,1.186712057
59.0001,1.102265888,1.201770534,1.226484222,1.144945171,1.045175552,1.310071258,1.159669654,1.2591685,1.181185057
59.5001,1.100725792,1.205241291,1.235426994,1.149083755,1.047398516,1.30898034,1.158107398,1.256297604,1.181340809
60.0007,1.107853897,1.207350591,1.237840614,1.149105614,1.048676719,1.309713808,1.157215018,1.257395968,1.184362415
60.5,1.099392223,1.197941834,1.233019563,1.144945171,1.047089771,1.31136179,1.158604479,1.254831856,1.185012126
61,1.100938219,1.205279642,1.239511582,1.148500856,1.050578588,1.314889864,1.156699001,1.255384825,1.185546136
61.4992,1.101068036,1.203886226,1.233966444,1.144427848,1.050029022,1.310243019,1.152355456,1.25413875,1.177046481
62.0005,1.102366201,1.205260467,1.238156242,1.146854166,1.049349783,1.312192744,1.154367452,1.250798208,1.17753599
62.5003,1.101717118,1.205068712,1.239301164,1.14717476,1.050059897,1.311691386,1.15225604,1.250430824,1.178430456
63.0001,1.101085738,1.205912432,1.245069098,1.148719443,1.050590938,1.307791936,1.151399166,1.249199898,1.17480364
63.4992,1.098235676,1.197865133,1.234554378,1.144478852,1.047052721,1.309685955,1.1530348,1.249631669,1.178319204
63.9992,1.099881985,1.203643337,1.23881844,1.146118256,1.048812567,1.312517698,1.151929386,1.251453439,1.176592573
64.5006,1.098690034,1.198932566,1.231738487,1.144639149,1.046040038,1.307564469,1.151304484,1.25030205,1.175546804
64.9996,1.102372101,1.198798338,1.229399132,1.141418631,1.045564571,1.307350927,1.149361132,1.248756765,1.175039494
65.4994,1.100560571,1.201834452,1.234504867,1.146242122,1.049263335,1.309282083,1.146998812,1.248802215,1.1753421
66,1.099982298,1.199034835,1.230185106,1.143079894,1.042792042,1.309862359,1.145796348,1.248124259,1.173753421
66.4992,1.102059362,1.201220837,1.235773565,1.148056395,1.048114804,1.30727201,1.143616291,1.247881861,1.167728011
67.0007,1.100802502,1.201987856,1.238051033,1.144405989,1.048145678,1.310883643,1.147545601,1.245889656,1.16769686
67.4992,1.098513011,1.196222435,1.231781809,1.14661372,1.045027355,1.313316157,1.145751374,1.247650826,1.176668224
67.9992,1.099073582,1.201099393,1.232233589,1.14485045,1.047034197,1.315911148,1.144892133,1.246946358,1.17149723
68.4999,1.10023603,1.203528284,1.235637412,1.145134613,1.047095946,1.308483625,1.146773942,1.247529627,1.171897737
69,1.095379713,1.196241611,1.225654927,1.140697293,1.043705927,1.303669661,1.1448945,1.24825682,1.169120886
69.4992,1.100407152,1.199392777,1.23152188,1.143407774,1.04684895,1.306770652,1.147131367,1.247279655,1.170228957
69.9993,1.098813949,1.199731544,1.226905058,1.143895952,1.043316908,1.30887357,1.147223682,1.245874506,1.165792226
70.5007,1.100324541,1.204193033,1.237240304,1.146708441,1.047596112,1.30851612,1.145180914,1.244840529,1.171479429
70.9998,1.096565764,1.196752956,1.22749918,1.140566141,1.043465106,1.305614744,1.142274171,1.245033689,1.170607214
71.4998,1.098949667,1.201597955,1.235284652,1.143713796,1.046336433,1.301952046,1.139843206,1.241821921,1.168026166
71.9997,1.097462678,1.201259188,1.230556432,1.140733724,1.042693243,1.304964835,1.13937453,1.239780479,1.166824645
72.4992,1.093615389,1.198561841,1.228712179,1.142249262,1.045354624,1.303869276,1.140113051,1.240590996,1.167776962
73.0006,1.094907653,1.199968041,1.228396552,1.142686437,1.043854124,1.307337001,1.139978128,1.240965954,1.169071936
73.5,1.098400897,1.199354426,1.231113422,1.142926883,1.044928556,1.303539679,1.136721062,1.240094838,1.165529671
73.9995,1.094134655,1.193064877,1.228743123,1.139524209,1.042977289,1.303358633,1.14070008,1.241924183,1.166958147
74.5001,1.092659468,1.19416427,1.22910826,1.140813873,1.044236968,1.304263863,1.138406404,1.238182169,1.167732461
75.0004,1.095633445,1.194534995,1.231565202,1.141134468,1.044236968,1.302796927,1.134088897,1.236826258,1.166886946
75.4991,1.095019768,1.194330457,1.235538392,1.14223469,1.045478122,1.301817422,1.134597814,1.236788383,1.16438155
76.0002,1.094022541,1.193582614,1.231039156,1.141156326,1.047522014,1.30010445,1.13264026,1.236489174,1.166455288
76.4999,1.094665723,1.191697028,1.228780255,1.139801086,1.043162536,1.302536964,1.134067594,1.234769665,1.167478806
