PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) CONF. RADIUS,(FIT) A [CONF. SHAPE],(FIT) B (CONF SHAPE),(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
154,356,16,40,55,CONFINED,0.068,0.010,0.012,1.135E-11,1.873,6.455,3.459,-0.227,0.007,0.090,0.101,1.432,5.153E-12,0.028,0.039,1.143,0.035,-0.154,-0.065,0.801
159,365,12,44,55,CONFINED,0.060,0.012,0.019,2.171E-11,5.480,7.337,4.667,0.912,0.006,0.096,0.087,1.449,1.892E-11,-0.197,0.015,0.273,0.028,-0.267,-0.105,0.850
163,373,11,71,81,CONFINED,0.079,0.017,0.016,2.231E-10,7.713,7.687,3.317,-0.227,0.008,0.111,0.136,1.233,5.625E-11,-0.146,0.244,2.000,0.036,-0.364,-0.125,0.681
167,380,10,49,58,CONFINED,0.286,2.522,4.269,1.281E-1,1.512,0.056,3.205,0.999,0.008,0.110,0.321,1.970,0.037,-0.245,0.008,1.158,0.087,1.000,-0.140,0.576
207,438,13,84,96,CONFINED,0.032,0.005,0.006,1.132E-11,4.895,7.960,13.629,-0.227,0.000,0.000,0.000,1.044,6.888E-12,-0.200,0.693,Infinity,0.016,-0.222,-0.087,0.726
229,466,11,77,87,CONFINED,0.170,1.373,2.123,3.713E-2,2.175,3.796,2.393,0.998,0.004,0.073,0.096,2.175,0.515,0.093,0.035,1.467,0.027,1.000,0.353,0.492
243,486,13,99,111,CONFINED,0.285,0.962,0.097,4.722E-1,3.425,4.652,1.924,0.916,0.026,0.213,0.321,5.615,0.462,0.292,0.249,1.255,0.029,1.000,0.594,0.836
258,511,11,94,104,CONFINED,0.498,0.958,0.468,1.509E-1,0.331,0.825,3.734,0.992,0.011,0.118,0.304,1.370,0.488,-0.343,5.913E-4,0.700,0.049,1.000,0.917,0.627
260,513,11,91,101,CONFINED,0.064,0.009,0.031,1.918E-12,2.189,3.727,2.444,-0.227,0.028,0.201,0.192,3.205,1.323E-11,0.085,0.227,0.450,0.033,-0.364,-0.125,0.824
291,562,22,107,128,CONFINED,0.065,0.011,0.011,6.103E-12,7.551,3.365,4.201,0.891,0.003,0.062,0.065,2.200,3.325E-11,-0.109,0.019,1.181,0.035,-0.087,-0.039,0.801
318,616,14,257,270,CONFINED,0.052,0.018,0.018,6.453E-11,1.846,6.854,4.145,0.999,0.007,0.090,0.074,1.671,5.289E-12,-0.307,0.119,1.338,0.018,-0.211,-0.083,0.718
323,633,16,152,167,CONFINED,0.067,0.018,0.051,1.534E-11,7.405,3.533,4.080,-0.227,0.013,0.129,0.143,1.641,4.285E-11,-0.167,0.088,0.760,0.038,-0.154,-0.065,0.664
347,675,11,136,146,CONFINED,0.236,1.136,0.313,4.329E-1,0.175,1.709,2.277,0.992,0.018,0.189,0.340,1.198,0.477,1.081,0.027,0.356,0.052,1.000,0.645,0.384
369,723,10,167,176,CONFINED,0.211,0.807,0.293,2.816E-2,7.836,7.516,2.968,0.494,0.023,0.165,0.272,1.443,0.334,-0.363,0.033,1.067,0.049,1.000,0.877,0.618
381,745,18,152,169,CONFINED,0.068,0.010,0.012,4.604E-12,2.716,2.089,3.706,-0.227,9.747E-4,0.035,0.040,2.051,2.742E-14,-0.215,0.061,2.315,0.041,-0.121,-0.054,0.780
383,748,11,161,171,CONFINED,0.087,0.009,0.005,1.393E-11,1.404,6.276,5.227,-0.227,0.002,0.049,0.068,1.135,4.354E-11,-0.387,0.036,0.427,0.043,-0.364,-0.125,0.821
384,753,11,156,166,CONFINED,0.083,0.016,0.017,6.894E-12,3.698,6.345,4.266,-0.227,0.002,0.048,0.068,1.706,2.694E-11,-0.387,0.063,1.143,0.051,-0.364,-0.125,0.822
393,762,13,165,177,CONFINED,0.159,20.003,0.027,1.389E1,5.763,0.095,2.290,0.998,0.016,0.152,0.234,2.469,0.748,0.006,0.005,2.500,0.022,1.000,0.863,0.507
434,820,11,186,196,CONFINED,0.175,0.015,0.013,1.947E-11,3.135,5.855,1.501,0.943,0.079,0.464,0.760,6.941,3.581E-12,3.792,0.363,0.078,0.018,-0.364,-0.125,0.412
443,830,16,196,211,CONFINED,0.126,0.017,0.016,1.721E-12,5.978,4.415,3.605,0.845,0.006,0.087,0.163,1.399,0.092,-0.032,0.013,0.465,0.052,-0.154,0.021,0.890
444,833,10,200,209,CONFINED,0.082,0.018,0.016,7.499E-13,4.532,4.904,2.365,-0.227,0.041,0.228,0.312,2.253,5.323E-12,-0.168,0.133,0.939,0.042,-0.444,-0.143,0.775
446,837,11,193,203,CONFINED,0.083,0.016,0.040,1.659E-12,3.327,4.749,2.248,-0.227,0.017,0.156,0.215,3.822,6.009E-13,-0.073,0.061,0.378,0.047,-0.364,-0.125,0.944
448,841,15,198,212,CONFINED,0.064,0.008,0.031,1.94E-11,2.867,6.595,3.294,-0.227,0.008,0.099,0.109,1.681,2.338E-11,-0.056,0.186,0.414,0.032,-0.167,-0.071,0.596
451,847,12,201,212,CONFINED,0.222,0.019,0.017,5.043E-11,0.403,2.023,3.306,0.990,0.004,0.076,0.247,1.456,0.051,-0.064,0.015,1.706,0.091,-0.267,-0.096,0.710
459,860,10,200,209,CONFINED,0.192,0.012,0.012,6.795E-12,1.824,3.012,2.665,-0.227,4.184E-4,0.025,0.076,3.420,2.059E-12,0.379,0.019,5.111,0.095,-0.444,-0.143,0.546
512,943,11,230,240,CONFINED,0.075,0.013,0.013,2.585E-12,7.513,6.069,2.683,0.882,0.015,0.146,0.152,2.156,1.942E-11,-0.036,0.143,1.867,0.035,-0.364,-0.125,0.624
513,945,10,250,259,CONFINED,0.060,0.016,0.016,5.132E-13,1.400,7.516,3.703,-0.227,0.017,0.142,0.151,1.644,2.481E-12,-0.250,0.022,1.133,0.037,-0.444,-0.143,0.750
531,984,15,238,252,CONFINED,0.099,0.010,0.033,3.195E-12,7.053,0.333,3.316,0.071,0.006,0.088,0.146,2.506,1.440E-11,-0.244,0.025,1.157,0.046,-0.167,-0.071,0.745
561,1037,11,279,289,CONFINED,0.170,0.014,0.017,2.874E-13,3.749,7.844,3.871,0.641,0.002,0.054,0.136,1.665,2.885E-11,-0.226,0.049,3.240,0.081,-0.364,-0.125,0.737
563,1042,12,263,274,CONFINED,0.051,0.014,0.027,1.393E-11,2.610,1.807,3.297,-0.227,0.009,0.119,0.087,2.060,5.069E-11,-0.049,0.011,0.345,0.029,-0.267,-0.105,0.736
564,1050,17,269,285,CONFINED,0.054,0.010,0.032,1.693E-13,7.282,1.525,3.497,-0.227,0.002,0.049,0.043,1.692,0.106,-0.123,0.020,0.284,0.032,-0.138,-0.009,0.769
587,1090,26,273,298,CONFINED,0.063,0.020,0.016,6.905E-11,2.775,0.734,3.202,0.576,0.000,0.000,0.000,3.654,9.869E-12,-0.288,0.008,3.100,0.036,-0.068,-0.031,0.733
592,1099,11,270,280,CONFINED,0.186,0.017,0.040,1.279E-11,4.764,1.167,1.514,0.968,0.055,0.330,0.627,6.152,1.174E-11,0.693,0.443,0.045,0.041,-0.364,-0.125,0.684
