"mean","sd","n","size","t","dataid"
0.0323543041222912,0.020493141020487,1259,2,0.120070397853851,"SG-TPD54_3"
0.0475088457679951,0.0334359256842835,1259,3,0.180105596780777,"SG-TPD54_3"
0.0612492127102091,0.0468531087290754,1259,4,0.240140795707703,"SG-TPD54_3"
0.0752130405263703,0.0617723269551997,1259,5,0.300175994634628,"SG-TPD54_3"
0.0896093176267833,0.0804916053899623,1259,6,0.360211193561554,"SG-TPD54_3"
0.104356614125313,0.0995355665734229,1259,7,0.42024639248848,"SG-TPD54_3"
0.116141771059705,0.111236238049514,1171,8,0.480281591415405,"SG-TPD54_3"
0.128338527134059,0.125221792125714,1075,9,0.540316790342331,"SG-TPD54_3"
0.136028946349939,0.133043124771855,1001,10,0.600351989269257,"SG-TPD54_3"
0.147408585506162,0.150986305555599,924,11,0.660387188196182,"SG-TPD54_3"
0.158320878644444,0.166088444782841,881,12,0.720422387123108,"SG-TPD54_3"
0.167843637536451,0.179553355866512,820,13,0.780457586050034,"SG-TPD54_3"
0.182858800341239,0.204175614467046,766,14,0.840492784976959,"SG-TPD54_3"
0.192878881552384,0.218506001174776,721,15,0.900527983903885,"SG-TPD54_3"
0.0123033704974969,0.00811796797219414,1074,1,0.0600351989269257,"SG-TPD54_4"
0.0258396605782487,0.0186996327130542,1074,2,0.120070397853851,"SG-TPD54_4"
0.0382377195079329,0.0314057144358056,1074,3,0.180105596780777,"SG-TPD54_4"
0.0504773222529451,0.0474739280369921,1074,4,0.240140795707703,"SG-TPD54_4"
0.0622345766340257,0.0645668422005513,1074,5,0.300175994634628,"SG-TPD54_4"
0.0743695113731831,0.0829565871424412,1074,6,0.360211193561554,"SG-TPD54_4"
0.0858109190272538,0.101462283906629,1074,7,0.42024639248848,"SG-TPD54_4"
0.0948266876204968,0.10824481557473,1003,8,0.480281591415405,"SG-TPD54_4"
0.104772299942576,0.120216951900281,935,9,0.540316790342331,"SG-TPD54_4"
0.114965692049866,0.132337670753455,874,10,0.600351989269257,"SG-TPD54_4"
0.127345795557334,0.151123142782675,819,11,0.660387188196182,"SG-TPD54_4"
0.137955080205986,0.165633074537597,776,12,0.720422387123108,"SG-TPD54_4"
0.144598033973259,0.174433367788389,723,13,0.780457586050034,"SG-TPD54_4"
0.153071401966202,0.192905071864981,687,14,0.840492784976959,"SG-TPD54_4"
0.16024959094576,0.212990779377341,652,15,0.900527983903885,"SG-TPD54_4"
0.168944009358786,0.22966953583704,626,16,0.960563182830811,"SG-TPD54_4"
0.180178999059541,0.253001528473651,595,17,1.02059838175774,"SG-TPD54_4"
0.010756678090844,0.00709721591054427,539,1,0.0600351989269257,"SG-TPD54_5"
0.021409906960282,0.0148984584868813,539,2,0.120070397853851,"SG-TPD54_5"
0.0305001205183441,0.0233101787677592,539,3,0.180105596780777,"SG-TPD54_5"
0.0389605459385843,0.0326063896165585,539,4,0.240140795707703,"SG-TPD54_5"
0.0463739513534166,0.0411538225127071,539,5,0.300175994634628,"SG-TPD54_5"
0.0540622773498217,0.0499527209518272,539,6,0.360211193561554,"SG-TPD54_5"
0.0617284355674232,0.0587698241933291,539,7,0.42024639248848,"SG-TPD54_5"
0.068455387706467,0.0645989242091719,502,8,0.480281591415405,"SG-TPD54_5"
0.0751712962889565,0.0707910991261268,481,9,0.540316790342331,"SG-TPD54_5"
0.0828641635761791,0.0798007321692995,455,10,0.600351989269257,"SG-TPD54_5"
0.0893105684493563,0.0849321129265215,434,11,0.660387188196182,"SG-TPD54_5"
0.0960168720707807,0.0964845375143915,414,12,0.720422387123108,"SG-TPD54_5"
0.100213562675618,0.101029843301861,391,13,0.780457586050034,"SG-TPD54_5"
0.105229402866877,0.105852427998393,373,14,0.840492784976959,"SG-TPD54_5"
0.112324965625632,0.113913143717495,354,15,0.900527983903885,"SG-TPD54_5"
0.118330309433238,0.12018113048837,340,16,0.960563182830811,"SG-TPD54_5"
0.126427697194571,0.130868725844349,324,17,1.02059838175774,"SG-TPD54_5"
0.130664267630397,0.141176346114921,308,18,1.08063358068466,"SG-TPD54_5"
0.136222086712479,0.148953361936297,287,19,1.14066877961159,"SG-TPD54_5"
