PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
25,74,15,2,16,NORM. DIFFUSION,1.105E-2,0.384,3.789,2.104,0.917,0.028,0.192,0.283,2.001,0.475,-0.187,0.108,0.288,0.030,0.386,0.608,0.596
26,77,18,31,48,NORM. DIFFUSION,2.74E-3,1.618,4.124,2.273,0.934,0.008,0.120,0.126,2.001,0.067,0.020,0.096,0.175,0.032,0.050,-0.044,0.686
28,82,13,2,14,NORM. DIFFUSION,2.837E-1,5.677,5.108,1.548,0.741,0.018,0.162,0.510,2.282,1.124,0.013,0.355,0.564,0.076,0.893,0.953,0.607
29,90,14,1,14,NORM. DIFFUSION,1.118E-1,4.406,4.640,1.695,0.849,0.079,0.337,0.632,3.027,1.282,0.062,0.053,-0.095,0.037,0.868,0.939,0.632
31,91,15,0,14,NORM. DIFFUSION,6.345E-2,3.677,5.603,2.068,0.994,0.006,0.089,0.154,1.534,1.121,0.060,0.011,0.072,0.034,0.698,0.900,0.632
36,111,24,8,31,NORM. DIFFUSION,7.97E-2,3.938,5.098,1.754,0.887,0.036,0.219,0.450,1.751,1.004,-0.272,0.333,0.038,0.023,0.951,0.977,0.668
38,120,12,3,14,NORM. DIFFUSION,5.878E-2,7.733,6.930,1.526,0.770,0.096,0.403,0.919,1.391,0.685,0.006,0.236,-0.029,0.058,0.771,0.906,0.531
41,124,21,17,37,NORM. DIFFUSION,1.058E-3,5.745,5.648,2.346,0.991,0.003,0.063,0.048,2.195,0.136,-0.054,0.059,0.650,0.013,0.053,0.006,0.635
42,126,11,1,11,NORM. DIFFUSION,4.716E-2,2.833,1.636,1.571,0.208,0.077,0.396,0.748,0.976,0.536,0.502,0.180,-0.052,0.050,0.801,0.737,0.498
44,128,13,4,16,NORM. DIFFUSION,4.367E-2,6.502,2.228,1.477,-0.005,0.059,0.354,0.467,5.906,0.870,0.814,0.254,1.267,0.042,0.726,0.715,0.494
47,131,16,11,26,NORM. DIFFUSION,2.504E-2,2.015,3.180,1.805,0.995,0.007,0.098,0.128,2.807,0.671,-0.224,0.381,-0.023,0.021,0.424,0.361,0.598
48,135,36,31,66,NORM. DIFFUSION,1.15E-1,5.293,4.080,1.713,0.918,0.014,0.153,0.335,1.473,0.990,0.311,0.335,-0.025,0.035,0.919,0.985,0.585
60,156,35,23,57,NORM. DIFFUSION,4.275E-2,3.597,1.599,1.725,0.900,0.031,0.227,0.368,3.145,0.879,1.124,0.021,0.091,0.031,0.818,0.918,0.599
67,171,23,40,62,NORM. DIFFUSION,1.903E-2,4.021,2.477,1.728,0.604,0.029,0.215,0.207,1.425,0.840,0.160,0.282,0.181,0.026,0.779,0.890,0.559
69,174,12,24,35,NORM. DIFFUSION,2.044E-1,3.037,2.447,1.555,0.935,0.111,0.425,1.137,5.277,1.166,0.521,0.206,0.059,0.065,0.995,0.995,0.468
71,175,11,28,38,NORM. DIFFUSION,4.271E-2,5.149,1.255,1.366,0.829,0.182,0.536,0.577,1.255,1.362,0.049,0.251,-0.062,0.024,0.984,0.997,0.528
76,179,13,35,47,NORM. DIFFUSION,2.29E-2,5.652,0.938,2.489,0.996,0.019,0.169,0.283,1.448,0.595,0.290,0.026,0.372,0.026,0.716,0.863,0.550
77,180,30,33,62,NORM. DIFFUSION,5.216E-2,5.197,3.747,2.013,0.387,0.008,0.122,0.222,3.154,0.742,1.596,0.185,0.164,0.066,0.765,0.866,0.625
77,182,20,85,104,NORM. DIFFUSION,1.917E-2,4.416,3.680,1.936,0.871,0.031,0.227,0.417,1.763,0.381,0.587,0.315,0.706,0.024,0.506,0.525,0.610
79,183,13,34,46,NORM. DIFFUSION,1.013E-1,4.440,5.206,2.066,0.983,0.029,0.207,0.522,2.050,0.677,-0.075,0.029,0.693,0.070,0.519,0.430,0.713
80,189,28,52,79,NORM. DIFFUSION,7.097E-2,2.880,2.126,1.896,0.968,0.021,0.179,0.316,1.237,1.021,0.852,0.085,0.007,0.027,0.976,0.991,0.582
80,191,20,92,111,NORM. DIFFUSION,9.57E-2,3.220,1.838,1.770,0.822,0.047,0.278,0.645,2.615,0.939,1.055,0.224,0.071,0.030,0.576,0.837,0.632
86,207,15,46,60,NORM. DIFFUSION,9.821E-2,5.859,6.872,2.242,0.975,0.011,0.123,0.370,1.590,0.710,-0.284,0.004,0.078,0.037,0.941,0.962,0.646
87,209,11,42,52,NORM. DIFFUSION,2.107E-1,2.171,0.542,1.617,0.064,0.031,0.223,0.670,2.231,0.859,0.069,0.137,0.172,0.076,0.688,0.595,0.534
89,211,13,46,58,NORM. DIFFUSION,3.416E-1,2.655,0.548,1.732,0.970,0.087,0.336,1.292,2.168,1.154,-0.277,0.019,-0.043,0.070,0.947,0.967,0.698
93,217,19,44,62,NORM. DIFFUSION,9.414E-3,3.408,7.069,1.950,0.734,0.013,0.136,0.214,3.416,0.260,0.034,0.106,2.848,0.024,0.159,0.054,0.644
95,223,12,49,60,NORM. DIFFUSION,3.119E-12,0.007,7.707,1.878,-0.227,0.030,0.271,0.185,2.489,2.580E-12,0.561,0.258,0.368,0.027,-0.105,-0.105,0.493
98,224,12,50,61,NORM. DIFFUSION,1.862E-1,3.093,1.670,1.453,0.794,0.041,0.270,0.570,1.029,1.299,0.901,0.480,-0.027,0.057,0.961,0.973,0.513
104,235,21,55,75,NORM. DIFFUSION,5.513E-2,2.002,2.011,1.838,0.839,0.006,0.105,0.183,2.043,0.751,2.827,0.380,0.147,0.039,0.830,0.899,0.606
105,236,12,56,67,NORM. DIFFUSION,4.229E-2,7.207,7.500,1.550,0.552,0.024,0.238,0.433,1.100,0.545,1.153,0.255,0.019,0.057,0.965,0.968,0.541
110,241,15,62,76,NORM. DIFFUSION,3.586E-2,5.357,5.115,1.644,0.644,0.013,0.131,0.154,1.701,1.138,-0.231,0.439,-0.083,0.032,0.853,0.931,0.613
116,251,20,70,89,NORM. DIFFUSION,1.168E-2,6.776,2.678,1.834,0.481,0.001,0.049,0.051,1.764,0.621,1.308,0.272,0.134,0.024,0.965,0.950,0.613
118,253,14,68,81,NORM. DIFFUSION,1.955E-13,6.037,7.494,1.601,-0.227,0.057,0.360,0.493,4.072,3.563E-13,0.944,0.251,0.351,0.028,-0.083,-0.083,0.668
119,258,11,69,79,NORM. DIFFUSION,1.147E-2,1.636,4.044,1.815,0.674,0.061,0.284,0.272,1.495,0.755,-0.167,0.064,-0.029,0.016,0.957,0.953,0.784
120,262,10,98,107,NORM. DIFFUSION,4.446E-3,6.612,5.088,1.547,0.955,0.077,0.338,0.338,1.266,0.329,0.083,0.345,-0.084,0.007,-0.077,-0.012,0.547
122,266,12,72,83,NORM. DIFFUSION,4.879E-4,4.200,0.000,1.846,-0.227,0.005,0.111,0.062,2.218,6.941E-12,1.563,0.693,0.573,0.021,-0.081,-0.105,0.510
124,273,11,72,82,NORM. DIFFUSION,1.37E-1,2.738,0.807,1.568,0.446,0.043,0.265,0.760,1.798,0.762,-0.128,0.302,2.776E-17,0.067,0.871,0.860,0.512
126,275,15,74,88,NORM. DIFFUSION,7.094E-3,3.000,3.544,2.036,0.979,0.002,0.052,0.069,2.192,0.382,-0.043,0.237,0.562,0.036,0.253,0.513,0.542
128,278,28,78,105,NORM. DIFFUSION,8.408E-2,4.609,4.901,1.632,0.894,0.024,0.201,0.429,1.931,0.786,0.180,0.326,0.269,0.047,0.744,0.788,0.526
129,280,13,75,87,NORM. DIFFUSION,7.298E-2,4.034,7.037,1.581,0.986,0.007,0.128,0.179,2.114,1.092,1.024,0.444,-0.057,0.037,0.971,0.985,0.609
134,285,15,80,94,NORM. DIFFUSION,1.555E-1,5.896,7.027,1.682,0.570,0.052,0.291,0.687,2.574,1.023,1.326,0.225,-0.060,0.068,0.887,0.909,0.598
136,292,25,92,116,NORM. DIFFUSION,4.558E-2,4.539,6.147,1.423,0.784,0.016,0.166,0.142,3.210,1.413,0.802,0.183,-0.104,0.018,0.868,0.972,0.616
138,294,13,87,99,NORM. DIFFUSION,1.246E-1,4.154,2.348,1.605,0.966,0.055,0.313,0.842,1.872,0.805,0.637,0.246,0.038,0.075,0.705,0.787,0.663
145,297,13,96,108,NORM. DIFFUSION,2.788E-2,5.218,6.486,1.541,-0.227,0.074,0.383,0.592,3.250,0.515,1.822,0.360,0.791,0.044,0.816,0.660,0.517
149,299,11,99,109,NORM. DIFFUSION,1.541E-1,7.109,6.953,1.474,0.952,0.143,0.477,1.036,4.395,1.326,0.181,0.005,-0.010,0.062,0.979,0.983,0.586
150,300,19,100,118,NORM. DIFFUSION,5.878E-2,2.469,7.571,1.932,0.992,0.035,0.218,0.416,3.349,0.955,0.003,0.050,0.135,0.025,0.621,0.856,0.733
152,303,12,105,116,NORM. DIFFUSION,1.788E-1,6.280,7.677,1.527,0.834,0.080,0.349,0.755,1.827,1.304,0.260,0.223,-0.105,0.053,0.911,0.973,0.641
153,307,15,109,123,NORM. DIFFUSION,8.997E-4,6.627,3.581,2.187,0.062,0.004,0.076,0.049,1.845,0.182,-0.063,0.326,0.407,0.013,0.668,0.612,0.515
153,309,32,138,169,NORM. DIFFUSION,4.195E-2,6.885,3.673,1.694,0.754,0.005,0.115,0.155,4.083,0.835,3.090,0.335,0.019,0.023,0.875,0.947,0.556
156,317,13,109,121,NORM. DIFFUSION,3.427E-2,5.449,7.637,2.006,0.953,0.055,0.285,0.453,2.277,0.754,0.132,0.093,0.229,0.039,0.864,0.905,0.637
157,321,17,112,128,NORM. DIFFUSION,1.614E-2,7.047,3.400,1.850,0.969,0.006,0.099,0.095,3.405,0.901,0.791,0.236,0.201,0.027,0.608,0.847,0.571
158,325,13,113,125,NORM. DIFFUSION,2.39E-2,4.098,2.560,1.652,0.611,0.037,0.230,0.234,1.685,1.086,0.012,0.112,0.165,0.021,0.834,0.891,0.622
158,327,13,139,151,NORM. DIFFUSION,1.97E-2,4.102,2.572,1.705,0.989,0.003,0.094,0.080,5.725,0.638,0.716,0.273,3.633,0.035,0.485,0.362,0.454
158,329,40,164,203,NORM. DIFFUSION,1.269E-2,4.059,2.575,1.959,0.802,0.012,0.147,0.133,1.737,0.781,3.594,0.394,0.148,0.017,0.852,0.946,0.582
160,333,14,118,131,NORM. DIFFUSION,1.99E-3,6.100,0.000,1.651,-0.227,0.038,0.273,0.157,2.360,0.264,0.589,0.693,1.108,0.017,0.198,0.070,0.468
168,338,12,119,130,NORM. DIFFUSION,2.348E-2,4.997,0.503,1.590,0.991,0.004,0.083,0.124,2.364,0.061,0.160,0.563,4.891,0.025,0.020,-0.104,0.655
170,341,28,135,162,NORM. DIFFUSION,2.355E-10,6.577,6.950,2.287,-0.227,9.398E-4,0.041,0.036,3.567,9.070E-11,0.508,0.165,0.440,0.023,-0.028,-0.028,0.565
