"time","Norm_cond3_file1_cell0","Norm_cond3_file1_cell1","Norm_cond3_file2_cell0","Norm_cond3_file2_cell1","Norm_cond3_file3_cell0","Norm_cond3_file3_cell1","Norm_cond3_file4_cell0","Norm_cond3_file4_cell1","Norm_cond3_file5_cell0","Norm_cond3_file5_cell1","Norm_cond3_file6_cell0","Norm_cond3_file6_cell1"
23.001,0.562523441602282,0.497703081232494,0.451950797616759,0.436554099841879,0.319810301920459,0.574320952448848,0.184313725490196,0.139967706297273,0.211440198959982,0.181962732919254,0.129038875782132,0.326042096574495
24,0.585852524191734,0.493669467787116,0.464539688641168,0.462813417664332,0.317415598441095,0.56833250160405,0.192898781134074,0.142857142857143,0.217363780239656,0.160347826086957,0.138834752282285,0.319851423854726
25.001,0.615407696346862,0.526050420168068,0.488179896213723,0.447086062796476,0.332957693571864,0.618022385399586,0.179120296767355,0.16197841420923,0.213565453312232,0.156621118012422,0.130474920504667,0.292715641766405
26.001,0.614507538819293,0.565266106442577,0.513261579857775,0.462841653489948,0.358172512560455,0.662151564839238,0.17456279809221,0.143621993711227,0.206375763056749,0.153192546583851,0.148117755667248,0.327125464300454
27.001,0.647513314830096,0.567731092436976,0.527195848548915,0.478117235147956,0.333849838005353,0.692806729878092,0.169687334393217,0.135463584601004,0.212299344336424,0.172819875776398,0.139296338085958,0.328002476269088
28.001,0.605505963543621,0.539495798319329,0.519652123774745,0.464507567201265,0.364041883833404,0.735866543095459,0.198198198198199,0.133338998895216,0.206194890345919,0.150608695652173,0.13909118883988,0.305406520841931
29,0.603930687870378,0.563809523809525,0.511435710167211,0.46555229274904,0.332347278959477,0.666215156483924,0.176152623211446,0.14047760686666,0.207189690255482,0.158857142857142,0.14206585290799,0.28410028889806
30,0.631835571224965,0.59204481792717,0.521093599846243,0.475208945109555,0.366154857491666,0.682398231981179,0.191838897721251,0.13750318687856,0.225141306805336,0.173366459627329,0.156990460560057,0.302569129178704
31.001,0.626134573550372,0.58218487394958,0.529454161060926,0.486136209622769,0.355355214349439,0.650032080986668,0.203179650238472,0.150930568539135,0.220709925390007,0.169888198757764,0.148169042978768,0.283790755262072
32.001,0.632060610606857,0.569523809523811,0.530511243513358,0.50101648972216,0.370615579659107,0.739573679332715,0.185055643879173,0.158154159938811,0.216911598462582,0.176198757763975,0.140783670120012,0.30024762690879
33.001,0.632435676243343,0.555966386554622,0.529117816644243,0.50576010842557,0.352819645959525,0.71676053325729,0.197986221515634,0.146851363984024,0.198824327379606,0.144844720496894,0.155195404656888,0.339609987618654
34.001,0.617283024529293,0.550364145658264,0.528733423025177,0.487124463519313,0.364041883833404,0.744278890710772,0.146687864334923,0.132064247471743,0.254216595071219,0.226186335403727,0.159503538824495,0.30973999174577
35.001,0.628534993623885,0.573109243697479,0.549875072073804,0.50753896543935,0.378738789500868,0.729165181435802,0.197138314785373,0.129684711481262,0.241284196246891,0.205565217391304,0.149194789209149,0.30427156417664
36.001,0.624784337259021,0.598767507002802,0.557659042859889,0.509346058278744,0.393952199840353,0.723747059242889,0.189613142554319,0.158834027364664,0.233597106036627,0.194583850931677,0.161862755154374,0.354725546842756
37.001,0.639486910209288,0.520448179271708,0.571256967134346,0.51773209848656,0.392074001033009,0.73301489983603,0.203815580286169,0.144641794850004,0.246665159394076,0.216496894409938,0.158375217971074,0.319696657036731
38.001,0.637011477008476,0.560672268907562,0.559100518931386,0.5179862209171,0.387190684133916,0.721964782205747,0.194276629570747,0.152290303390838,0.263260230612706,0.222608695652174,0.166324751256539,0.333316137020223
39,0.671217463056035,0.611540616246499,0.573563328848742,0.511520216851141,0.417711414753252,0.802452413203108,0.192156862745098,0.154414889096627,0.274203029617907,0.252869565217392,0.15037439737409,0.298545191910855
40,0.671217463056035,0.618151260504201,0.597587930040362,0.524198102552519,0.419167018828943,0.817352249233621,0.216640169581346,0.153565054814311,0.285145828623107,0.25152795031056,0.151194994358395,0.282346264960792
41,0.6446628159928,0.614117647058825,0.598645012492792,0.53185001129433,0.427290228670705,0.845298353176018,0.198940116587176,0.158919010792896,0.280081392719873,0.257590062111801,0.148476766847882,0.284925711927363
42.001,0.659965493961444,0.607170868347339,0.595617912742649,0.534165348994804,0.438794196365686,0.844228986953733,0.204557498675146,0.145576612560551,0.256070540357224,0.21455900621118,0.154067083803467,0.303704085843995
43.001,0.66034055959793,0.604481792717087,0.605756294445512,0.536452450869664,0.423299056205099,0.803878234832822,0.238049814520402,0.165037817625562,0.256522722134298,0.239552795031056,0.165145143091599,0.33063351217499
44.001,0.678868802040357,0.621848739495798,0.611330001921968,0.533035915970183,0.416725360379396,0.775932130890426,0.193428722840486,0.144726778278235,0.262174994347728,0.232198757763975,0.152015591342702,0.303755674783327
45,0.674968119420899,0.619943977591037,0.581827791658659,0.525468714705218,0.41310982767526,0.821843587367221,0.218865924748277,0.152290303390839,0.253809631471852,0.223304347826087,0.158221356036516,0.325938918695831
46.001,0.669342134873604,0.691988795518208,0.596867192004613,0.524056923424441,0.420622622904634,0.786269337705853,0.223529411764707,0.150590634826209,0.287271082975357,0.263403726708075,0.148630628782439,0.299938093272803
47.001,0.702797989648189,0.707002801120449,0.611810493945801,0.544160831262706,0.425224209982627,0.814571897055678,0.207101218865924,0.143452026854764,0.270947320822971,0.256447204968944,0.14560467740281,0.274246801485762
48.001,0.690045758007652,0.681344537815127,0.616759561791274,0.542692568330698,0.451565948255622,0.860340771369501,0.211552729199789,0.144981728562931,0.258828849197378,0.241639751552795,0.153143912196122,0.318303755674783
49.001,0.665591478508739,0.724929971988796,0.615894676148376,0.547040885475492,0.458280508991877,0.843373493975903,0.201059883412824,0.141327441148976,0.222337779787475,0.181416149068323,0.168427531028824,0.32697069748246
50.001,0.688770534843598,0.699271708683474,0.625985008648857,0.56338942850689,0.451472038315256,0.81072217865545,0.205723370429253,0.144471827993542,0.271987338910242,0.237118012422361,0.155759565083599,0.298287247214198
51,0.720501087690346,0.721344537815125,0.629636748029983,0.558109329116784,0.449452974597361,0.828188493619447,0.228086910439852,0.165122801053796,0.257607958399277,0.221565217391304,0.157093035183096,0.318458522492778
52,0.734003450603856,0.648291316526611,0.615750528541226,0.552913937203524,0.433300464854205,0.787338703928139,0.210916799152093,0.150165717685051,0.262762830657925,0.232596273291926,0.146117550518002,0.307573256293851
53.001,0.718250693871428,0.676078431372548,0.637276571208918,0.56996837587531,0.460769122411607,0.837385043131104,0.215050344462109,0.146256479986403,0.265068957721004,0.21927950310559,0.15032311006257,0.289929839042509
54,0.730252794238992,0.692997198879552,0.620507399577167,0.562711768692117,0.457153589707471,0.768731731660369,0.173714891361951,0.129429761196568,0.258557540131132,0.212819875776398,0.165504154272232,0.316807676434172
55.001,0.746005550971421,0.74577030812325,0.632952142994426,0.574514343799413,0.443207963562943,0.764311684608255,0.224695283518813,0.164952834197332,0.254397467782048,0.209888198757763,0.160734434300954,0.313712340074288
56.001,0.71517515565224,0.695350140056023,0.661877762829137,0.583973345380619,0.430670986523923,0.771654666001283,0.216322204557498,0.138013087447947,0.248112141080714,0.190708074534161,0.15622115088727,0.336978951712753
57,0.750281299227365,0.767843137254902,0.630549682875264,0.577846171222047,0.443536648354228,0.798246239395451,0.188871224165343,0.129684711481262,0.281935338005878,0.225888198757764,0.160067699251205,0.374690466364012
58.001,0.693271322481434,0.675294117647058,0.63967903132808,0.568528348768918,0.440578485232662,0.798887859128822,0.183041865394807,0.122376136653354,0.239837214560253,0.198807453416149,0.17863370602113,0.364527445315724
59.001,0.754707073737904,0.716638655462185,0.645781280030751,0.571408402981703,0.472367000046955,0.806943751336708,0.202119766825649,0.128239993201326,0.198779109201899,0.151006211180124,0.154836393476254,0.368241848947586
60,0.731903083039533,0.700280112044818,0.630165289256199,0.579455613282133,0.460769122411607,0.835246310686534,0.207101218865924,0.136568369168012,0.221523852588741,0.183254658385093,0.154015796491948,0.364063144861741
