"time","Norm_cond2_file1_cell0","Norm_cond2_file2_cell0","Norm_cond2_file3_cell0","Norm_cond2_file4_cell0","Norm_cond2_file5_cell0","Norm_cond2_file6_cell0","Norm_cond2_file7_cell0","Norm_cond2_file8_cell0","Norm_cond2_file9_cell0","Norm_cond2_file10_cell0","Norm_cond2_file11_cell0","Norm_cond2_file12_cell0","Norm_cond2_file13_cell0","Norm_cond2_file14_cell0","Norm_cond2_file15_cell0","Norm_cond2_file16_cell0","Norm_cond2_file17_cell0","Norm_cond2_file18_cell0","Norm_cond2_file19_cell0","Norm_cond2_file20_cell0","Norm_cond2_file21_cell0","Norm_cond2_file22_cell0","Norm_cond2_file23_cell0","Norm_cond2_file24_cell0","Norm_cond2_file25_cell0","Norm_cond2_file26_cell0","Norm_cond2_file27_cell0","Norm_cond2_file28_cell0","Norm_cond2_file29_cell0","Norm_cond2_file30_cell0","Norm_cond2_file31_cell0","Norm_cond2_file32_cell0","Norm_cond2_file33_cell0","Norm_cond2_file34_cell0","Norm_cond2_file35_cell0","Norm_cond2_file36_cell0"
9.001,0.64256328010599,0.561245391233102,0.515374805157999,0.54556741991557,0.798972382787411,0.389226596839054,0.635977337110481,0.570037065770193,0.626001313197636,0.484879311939332,0.629493763756419,0.554754906608514,0.858012170385396,0.725121032813343,0.58837938467568,0.576714933450343,0.695779646632204,0.750394446197539,0.864867388868136,0.465863084284137,0.446812829882257,0.829860195199155,0.581440176235717,0.50477671628527,0.478909986954631,0.59886925795053,0.661597413483416,0.634402233691514,0.734786044936208,0.689871916508538,0.670713760117733,0.628628852166146,0.619624184291217,0.594385444965836,0.655011401889458,0.547042015028045
10.001,0.605815494038072,0.572511265874638,0.486042227575456,0.536255276881053,0.823928800807414,0.38324137286075,0.659729788624974,0.564089302646323,0.674720945502299,0.487838712660685,0.589435069699195,0.590120413387694,0.918296146044624,0.744593867670792,0.601410934744268,0.592438203890595,0.702183473497415,0.762464499842222,0.845255883451625,0.453901361796098,0.512484774665043,0.813505671326825,0.660608563954289,0.51244167962675,0.53674445571822,0.603957597173145,0.715602921805772,0.657331415517388,0.688833690865982,0.712286527514231,0.681567328918321,0.660786065207682,0.650051104646591,0.645920803490573,0.675969160603759,0.569372420361943
11.001,0.607070636636218,0.675133142154855,0.553067875867931,0.561584305934939,0.851179007248371,0.418872159356588,0.644366964480279,0.60848202741143,0.719632304661853,0.487931193933229,0.583859134262656,0.617142315350337,0.83261663286004,0.771059709521248,0.594650205761317,0.564428843059822,0.663143275981792,0.714184285263491,0.813597310422115,0.508465218991534,0.522736500203005,0.839224479029281,0.652209830648491,0.543768051544101,0.499202783012029,0.638162544169612,0.695006586037599,0.748709704712751,0.63813932482782,0.683942125237191,0.69812362030905,0.682298645228524,0.615457190030661,0.655882110809254,0.716907373221849,0.583342152608742
12,0.669200195244404,0.688242523555919,0.502621510556893,0.611994040228458,0.81631342324984,0.402412793416253,0.670189583787319,0.594862511852426,0.737229152987526,0.506242485896606,0.567718268525312,0.668341708542713,0.858823529411764,0.764497041420119,0.65138154027043,0.59075617961094,0.671707429982255,0.731303250236668,0.802110571535301,0.494663231505337,0.551867641088103,0.8230018464785,0.608150901831197,0.567096200844258,0.542397448905639,0.718586572438164,0.650221530355647,0.735087570860478,0.666591396635431,0.73873339658444,0.66832229580574,0.700387077564388,0.677726236339334,0.669218737136743,0.744271907916171,0.558895121176845
13.001,0.673802384770937,0.661614092585006,0.539606064900098,0.603302706729576,0.91751536838242,0.430187973440568,0.715515362824146,0.590811136970951,0.740380827314512,0.492092851197632,0.574027879677184,0.646724186972599,0.856795131845842,0.736847767617,0.631295316480503,0.579932719028814,0.677494020523108,0.734222152098455,0.786701531565186,0.567261685682738,0.522634997969955,0.839356370350831,0.698471705906649,0.577649411241947,0.556312509059283,0.763533568904595,0.785055681954257,0.722057703697437,0.735915095404765,0.726992409867172,0.699043414275201,0.70611880303707,0.724585266137274,0.705688647402652,0.733304376153764,0.570959889935443
14.001,0.688027334216582,0.736173699303565,0.559727929715177,0.624161907126892,0.888705385815213,0.465257645188441,0.691544998910439,0.626066718386347,0.805515430072226,0.506704892259317,0.627586206896552,0.69498435574097,0.788559837728195,0.773641742872512,0.670194003527337,0.596533567354102,0.657588149062572,0.772246765541181,0.800336197235711,0.519598822230401,0.543848964677223,0.866921656554999,0.659507090733857,0.645523217062876,0.633715031163937,0.756749116607777,0.723865405340678,0.716981132075472,0.745512024387491,0.733870967741934,0.645695364238408,0.704927795146642,0.716172655082947,0.718531324606899,0.752307525247043,0.571171552545244
15.002,0.694791158217698,0.819746005735353,0.536063483066459,0.666997765085672,0.890265161941461,0.479004956513607,0.70113314447592,0.618050168088958,0.777544320420223,0.527328216036252,0.668231841526046,0.64956859770551,0.866937119675456,0.800968262506726,0.618851655888693,0.579859587538394,0.632049996142274,0.758441148627328,0.816585730295107,0.546190651453808,0.597137637028015,0.806119757319969,0.689384551838082,0.624638969117975,0.641542252500363,0.695406360424028,0.702670338881571,0.744394618834081,0.755447668510783,0.754981024667931,0.731236203090506,0.750632722941789,0.694944571114081,0.726681485140364,0.745683570420241,0.597946872684941
16,0.698347395579109,0.737197869725522,0.566671390109111,0.639309659796374,0.909257730066978,0.468250257177592,0.716604924820222,0.633997069218171,0.787655942219305,0.559234255063349,0.655319148936172,0.67981416516545,0.83553752535497,0.777084454007532,0.634430727023319,0.622934035395641,0.623254378520176,0.744872199431999,0.843294732909974,0.558152373941847,0.606577344701583,0.809153257715642,0.699986231584744,0.670073317040658,0.603855631250905,0.709823321554772,0.782062028499582,0.835603688975379,0.768431748899176,0.767196394686908,0.708425312729947,0.747134137263659,0.712162905888828,0.706429571087512,0.753176240634162,0.629272938935339
17.001,0.678753225019176,0.804997951659154,0.624628028907468,0.689967717904147,0.901275346362052,0.470775273543439,0.712028764436696,0.64123782432549,0.765462902166776,0.571904189401646,0.681584739545123,0.674978666919503,0.833184584178499,0.771382463690156,0.685185185185186,0.676466286382916,0.669238484684824,0.751972230987694,0.858797161001121,0.593209422156789,0.597848152659358,0.882880506462672,0.709761806416081,0.709620084425684,0.635309465139875,0.6678445229682,0.768171476469885,0.803790506811067,0.820819690640173,0.774667931688804,0.748528329654157,0.758076522256959,0.772938124066357,0.73507862023545,0.768595938755565,0.619007302360037
18.001,0.73781465727634,0.789020893076608,0.598412923338529,0.695927489446238,0.92751628589779,0.5065930982886,0.750817171497059,0.718041548142403,0.83059750492449,0.590400443910108,0.688921496698461,0.667772826396131,0.840324543610547,0.765465303926843,0.718204977464236,0.670981424601433,0.703263637065042,0.780451246449985,0.848244303324617,0.574806772175193,0.597543645960211,0.955420733315747,0.693102023957041,0.705398800266607,0.678214233946947,0.692155477031804,0.771644114477309,0.825535155258482,0.780738399006436,0.77407495256167,0.704746136865342,0.762170611880303,0.695023193647299,0.775911747756649,0.72353132804865,0.617948989311038
