spot_0,spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,frame
104.9615,104.5577,104.4808,102.4615,104.9808,105.9423,103.9231,101.4231,105.3846,103.1346,118.9231,101.7115,85
104.2692,104.0769,106.0385,102.25,105.2885,104.4615,103.3462,101.6731,105.3654,102.25,119.3269,108.2115,86
107.0962,104.9423,104.6923,102.2308,105.1923,103.6731,103.8077,102.75,104.2115,102.8846,119.7692,105.9615,87
106.0577,105.8654,104.3846,102.1154,105.3077,104.0962,102.9038,101.4423,105.1538,104.6923,117.6923,105.8269,88
103.8654,106.0192,104.4808,108.2885,104.3846,104.1731,103.6538,101.25,105.0962,103.6538,119.6154,109.3846,89
105.6154,105.2308,104.1154,107.5962,103.7885,104.0577,104.2308,101.3846,105.5577,103.7885,117.4038,108.9615,90
105.1154,105.0962,104.6538,102.3269,103.4615,103.5962,103.6731,101.5962,106.0769,104.3269,116.6346,112,91
104.7692,105.6346,105.1154,103.5,104.8846,103.4423,103.1538,103.3269,104.9231,104.1154,116.4423,110.9038,92
105.6154,105.7308,105.8654,101.2692,117.4231,104,102.8077,102.4615,104.8654,106.0769,115.8269,111.0769,93
105.1731,103.9038,105.5,101.2692,122.25,105.25,103.1538,101.2885,105.6923,103.4615,116.8462,110.4231,94
106.8269,106.1923,104.5,102.1538,120.8654,103.4615,102.7692,101.7692,105.0385,103.0192,114.8462,111.3269,95
107.0577,105.1346,107.0577,102.5577,119.5577,102.0962,103.4615,101.7692,103.9808,108.0577,114.3077,111.3846,96
106.2885,104.8846,103.9231,102.3462,106.5192,103.9423,103.9231,102.3269,106.2692,103.5769,115.6346,112.5769,97
105.2885,104.8654,105.3846,102.6154,105.2885,103.2692,103.6538,101.9231,105.9808,101.9615,116.1154,107.2885,98
105.8654,106.0385,104.9615,101.7308,104.25,104.6154,102.6538,101.8462,105.9808,102.3462,116.5385,105.3654,99
106.8269,107.1154,105.3269,101.4808,103.8462,103.6154,104.5577,101.4038,105.5192,103.2692,116.8846,100.1923,100
