PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
377,898,10,141,150,NORM. DIFFUSION,3.104E-2,6.240,0.116,2.031,0.276,0.037,0.256,0.507,1.215,0.419,0.195,0.158,0.007,0.045,0.832,0.757,0.487
380,902,19,146,164,NORM. DIFFUSION,6.567E-2,5.973,1.394,1.733,0.967,0.015,0.155,0.242,2.589,1.048,0.373,0.270,-0.072,0.023,0.868,0.944,0.621
380,904,19,184,202,NORM. DIFFUSION,1.695E-2,5.773,1.589,1.727,0.754,0.015,0.140,0.169,1.851,0.784,-0.094,0.280,0.217,0.025,0.782,0.908,0.620
385,910,11,141,151,NORM. DIFFUSION,2.143E-2,7.222,0.789,1.483,0.945,0.037,0.296,0.366,2.872,0.625,1.173,0.265,0.006,0.019,0.368,0.612,0.656
387,913,13,146,158,NORM. DIFFUSION,7.791E-2,6.077,3.308,1.586,0.834,0.058,0.295,0.682,1.483,0.863,0.223,0.038,-0.125,0.056,0.799,0.925,0.617
389,919,22,143,164,NORM. DIFFUSION,6.584E-2,2.244,7.587,1.773,0.983,0.033,0.234,0.550,2.075,0.732,0.277,0.111,0.050,0.046,0.713,0.854,0.565
391,922,20,152,171,NORM. DIFFUSION,1.387E-1,1.120,7.184,1.485,0.654,0.049,0.261,0.657,1.423,1.081,-0.280,0.401,-0.068,0.065,0.815,0.954,0.589
393,932,17,145,161,NORM. DIFFUSION,6.014E-2,3.099,7.042,2.340,1.000,0.021,0.171,0.383,1.848,0.796,-0.221,0.003,0.547,0.028,0.338,0.552,0.707
396,933,15,148,162,NORM. DIFFUSION,6.987E-2,6.293,4.464,1.618,0.968,0.010,0.127,0.217,1.646,1.118,0.430,0.264,0.051,0.024,0.838,0.939,0.605
397,935,12,148,159,NORM. DIFFUSION,4.736E-2,3.407,4.960,1.609,0.484,0.111,0.403,1.128,1.790,0.435,0.176,0.187,0.130,0.077,0.854,0.877,0.544
398,936,12,148,159,NORM. DIFFUSION,3.415E-3,6.860,5.827,1.816,-0.227,0.017,0.149,0.276,2.144,1.017E-11,-0.174,0.389,0.375,0.049,-0.068,-0.105,0.491
401,942,12,151,162,NORM. DIFFUSION,5.327E-2,5.270,2.493,1.640,0.838,0.061,0.346,0.450,1.954,1.032,1.016,0.400,-0.010,0.026,0.940,0.960,0.601
402,945,11,151,161,NORM. DIFFUSION,5.539E-2,6.982,4.455,1.739,-0.227,0.041,0.242,0.481,1.223,0.613,-0.016,0.458,0.060,0.047,0.588,0.393,0.554
403,948,41,169,209,NORM. DIFFUSION,1.936E-2,3.437,2.432,1.723,0.825,0.010,0.136,0.205,1.881,0.608,1.972,0.383,0.197,0.030,0.455,0.736,0.596
406,950,12,160,171,NORM. DIFFUSION,9.285E-2,2.083,6.810,1.500,0.976,0.001,0.044,0.062,1.156,1.400,0.291,0.459,-0.096,0.047,0.986,0.994,0.670
407,952,11,160,170,NORM. DIFFUSION,5.043E-2,7.436,7.018,1.519,0.843,0.067,0.312,0.796,1.527,0.581,-0.207,0.146,-0.033,0.036,0.280,0.525,0.526
411,958,33,153,185,NORM. DIFFUSION,4.399E-2,2.510,5.724,1.899,0.928,0.021,0.188,0.306,1.603,0.872,0.678,0.314,0.001,0.028,0.872,0.959,0.577
412,961,14,194,207,NORM. DIFFUSION,3.928E-2,6.103,2.986,1.308,0.801,0.169,0.547,0.515,2.915,1.324,0.696,0.340,-0.081,0.016,0.930,0.983,0.600
414,966,30,210,239,NORM. DIFFUSION,7.376E-2,1.643,7.388,1.726,0.909,0.016,0.175,0.346,2.082,0.883,1.082,0.123,-0.038,0.035,0.847,0.950,0.609
417,971,44,165,208,NORM. DIFFUSION,1.966E-2,4.395,0.896,1.810,-0.062,0.001,0.050,0.063,1.742,0.702,1.138,0.350,0.291,0.026,0.926,0.871,0.535
418,975,23,165,187,NORM. DIFFUSION,4.748E-2,7.617,0.294,1.795,0.890,0.018,0.161,0.309,1.283,0.776,0.152,0.305,-0.011,0.040,0.712,0.788,0.581
419,977,12,165,176,NORM. DIFFUSION,1.08E-1,0.963,4.750,1.883,0.998,0.013,0.141,0.247,1.549,1.393,-0.170,0.148,-0.036,0.040,0.954,0.979,0.590
422,978,17,163,179,NORM. DIFFUSION,1.666E-1,7.671,3.831,1.802,0.864,0.002,0.051,0.128,1.622,1.086,-0.178,0.262,-0.070,0.070,0.868,0.953,0.682
423,981,28,168,195,NORM. DIFFUSION,2.369E-2,4.990,3.206,1.801,0.954,0.006,0.088,0.128,1.954,0.860,0.048,0.176,0.079,0.027,0.479,0.791,0.628
424,987,27,183,209,NORM. DIFFUSION,5.754E-3,2.782,4.597,2.209,0.978,0.009,0.114,0.108,1.765,0.519,0.081,0.028,0.581,0.022,0.589,0.722,0.583
427,990,25,169,193,NORM. DIFFUSION,5.273E-2,3.194,6.387,1.950,0.997,0.015,0.158,0.267,1.854,0.843,0.361,0.398,0.042,0.025,0.687,0.797,0.594
429,991,12,169,180,NORM. DIFFUSION,2.722E-2,5.050,7.803,1.891,0.942,0.014,0.150,0.360,2.434,0.305,0.542,0.147,0.105,0.077,0.042,0.059,0.599
431,999,11,179,189,NORM. DIFFUSION,1.805E-2,7.033,1.207,2.153,0.817,0.052,0.291,0.456,2.548,0.461,0.802,0.069,0.227,0.051,0.985,0.999,0.603
435,1006,14,178,191,NORM. DIFFUSION,1.159E-2,1.623,7.449,1.707,0.039,0.030,0.217,0.431,1.988,0.192,0.456,0.429,0.019,0.069,0.541,0.425,0.492
438,1013,14,171,184,NORM. DIFFUSION,2.174E-2,4.220,1.474,2.017,0.750,0.003,0.074,0.157,1.723,0.332,1.865,0.300,0.474,0.064,0.661,0.827,0.508
439,1014,15,173,187,NORM. DIFFUSION,6.359E-2,7.128,2.101,1.716,0.876,0.054,0.300,0.440,2.996,1.139,0.394,0.096,-0.038,0.043,0.851,0.930,0.759
441,1017,19,191,209,NORM. DIFFUSION,1.008E-2,6.375,4.497,1.795,-0.227,0.022,0.192,0.288,1.539,0.332,0.251,0.129,0.457,0.038,0.543,0.407,0.535
442,1021,18,194,211,NORM. DIFFUSION,3.786E-2,3.771,0.820,2.079,0.923,0.004,0.076,0.113,3.463,0.786,0.706,0.005,0.135,0.040,0.650,0.834,0.665
444,1023,14,178,191,NORM. DIFFUSION,3.263E-2,2.946,2.043,1.712,0.985,0.071,0.313,0.496,1.274,0.894,0.252,0.321,6.689E-4,0.041,0.519,0.759,0.628
445,1026,24,177,200,NORM. DIFFUSION,7.786E-2,2.763,3.327,2.308,0.993,9.874E-4,0.038,0.093,1.582,0.844,0.165,0.124,0.054,0.047,0.725,0.911,0.702
446,1030,10,219,228,NORM. DIFFUSION,3.932E-2,2.548,1.404,1.683,0.967,0.025,0.183,0.338,2.107,0.817,-0.329,0.256,0.689,0.051,0.467,0.711,0.566
449,1031,11,182,192,NORM. DIFFUSION,1.532E-1,7.687,2.956,1.680,0.870,0.037,0.232,0.683,1.940,0.953,-0.029,0.055,-0.016,0.059,0.999,0.999,0.782
455,1044,23,186,208,NORM. DIFFUSION,3.438E-2,7.610,6.788,1.671,0.940,0.041,0.276,0.484,2.825,0.518,0.823,0.077,0.647,0.030,0.264,0.347,0.616
456,1047,28,192,219,NORM. DIFFUSION,3.889E-2,2.470,7.189,2.015,0.994,1.423E-4,0.015,0.025,1.935,0.820,0.635,0.027,0.152,0.033,0.561,0.821,0.626
457,1048,17,179,195,NORM. DIFFUSION,3.787E-2,4.654,7.854,2.282,0.810,0.002,0.055,0.095,1.157,0.698,0.269,0.195,0.087,0.037,0.922,0.899,0.579
463,1061,19,199,217,NORM. DIFFUSION,4.805E-2,1.731,6.341,2.077,0.987,4.314E-4,0.026,0.053,1.514,0.749,0.280,0.317,0.110,0.018,0.782,0.921,0.575
464,1062,13,185,197,NORM. DIFFUSION,9.942E-2,2.258,6.751,1.779,0.978,6.464E-4,0.031,0.080,1.427,0.831,1.272,0.439,-0.038,0.047,0.763,0.835,0.584
469,1070,17,188,204,NORM. DIFFUSION,7.746E-2,2.715,5.821,1.973,0.969,0.016,0.153,0.324,1.912,0.905,0.261,0.059,7.576E-4,0.029,0.948,0.979,0.688
472,1079,12,189,200,NORM. DIFFUSION,2.247E-1,0.860,7.683,1.736,0.939,0.050,0.286,0.747,1.552,1.190,0.703,0.252,-0.048,0.046,0.945,0.983,0.639
474,1084,24,212,235,NORM. DIFFUSION,1.991E-2,7.922,0.387,1.654,-0.227,0.012,0.174,0.225,1.344,0.398,2.177,0.478,0.516,0.042,0.574,0.303,0.479
474,1086,14,244,257,NORM. DIFFUSION,6.333E-2,7.734,0.277,1.697,0.950,0.083,0.349,0.698,1.638,0.863,-0.014,0.020,0.239,0.051,0.310,0.579,0.614
476,1093,21,201,221,NORM. DIFFUSION,6.322E-2,7.072,2.461,1.451,0.270,0.072,0.324,0.620,1.581,0.795,-0.013,0.452,0.071,0.050,0.821,0.841,0.531
477,1096,11,191,201,NORM. DIFFUSION,1.294E-1,3.400,6.036,1.595,0.984,0.098,0.382,0.736,1.550,1.425,0.246,0.168,-0.085,0.052,0.982,0.983,0.650
480,1101,12,205,216,NORM. DIFFUSION,4.303E-2,2.280,1.780,1.571,0.895,0.037,0.272,0.450,1.339,0.626,2.486,0.364,0.055,0.046,0.580,0.586,0.499
481,1104,14,195,208,NORM. DIFFUSION,1.292E-2,3.549,4.663,1.510,0.565,0.051,0.297,0.262,1.810,0.738,0.436,0.361,0.056,0.025,0.848,0.890,0.534
486,1107,15,205,219,NORM. DIFFUSION,4.722E-2,3.912,7.739,1.654,0.863,0.031,0.240,0.370,1.436,0.801,0.908,0.347,0.020,0.035,0.885,0.895,0.560
487,1114,20,251,270,NORM. DIFFUSION,2.955E-2,6.018,3.354,1.918,0.805,0.002,0.064,0.113,3.223,0.492,0.446,0.116,0.041,0.024,0.240,0.248,0.593
491,1119,15,200,214,NORM. DIFFUSION,4.232E-2,2.749,3.325,1.333,0.481,0.154,0.510,0.791,1.636,0.762,0.351,0.436,-0.007,0.029,0.797,0.865,0.624
494,1122,21,210,230,NORM. DIFFUSION,3.693E-2,3.211,2.072,1.760,0.919,0.050,0.259,0.454,2.999,0.755,-0.008,0.205,-3.608E-16,0.026,0.482,0.591,0.625
498,1128,23,204,226,NORM. DIFFUSION,6.264E-2,2.108,6.115,1.434,0.561,0.097,0.393,0.634,2.349,0.897,1.098,0.522,0.190,0.014,0.675,0.871,0.617
499,1133,14,206,219,NORM. DIFFUSION,1.89E-1,1.817,5.883,1.989,0.967,0.033,0.211,0.585,1.388,1.032,-0.098,0.058,8.962E-4,0.066,0.745,0.842,0.553
500,1135,11,208,218,NORM. DIFFUSION,3.977E-2,7.542,4.902,1.662,0.573,0.103,0.400,0.793,4.380,0.596,-0.083,0.040,-0.031,0.051,0.993,0.985,0.636
501,1138,29,212,240,NORM. DIFFUSION,7.195E-3,7.582,6.676,1.796,0.942,7.945E-4,0.037,0.077,4.321,0.158,0.874,0.244,0.531,0.041,0.010,0.021,0.540
502,1140,14,209,222,NORM. DIFFUSION,2.503E-1,4.554,0.337,1.808,0.969,0.039,0.254,0.711,1.944,1.215,0.594,0.064,0.146,0.062,0.973,0.989,0.692
503,1141,24,208,231,NORM. DIFFUSION,7.74E-2,4.902,2.548,1.885,0.991,0.006,0.093,0.177,2.199,1.017,-0.046,0.003,0.018,0.021,0.806,0.926,0.645
504,1146,35,213,247,NORM. DIFFUSION,3.713E-2,3.534,5.009,1.947,0.925,0.012,0.150,0.303,2.133,0.573,0.652,0.206,0.291,0.041,0.651,0.784,0.558
505,1149,15,212,226,NORM. DIFFUSION,3.97E-2,1.341,5.755,2.017,0.993,0.037,0.220,0.283,1.878,1.124,-0.150,0.020,-0.072,0.024,0.834,0.932,0.730
508,1153,12,213,224,NORM. DIFFUSION,1.551E-2,5.657,2.300,1.647,0.567,0.046,0.254,0.360,1.508,0.570,-0.058,0.413,-0.018,0.023,0.558,0.765,0.622
510,1154,11,215,225,NORM. DIFFUSION,4.4E-2,1.429,7.825,1.904,0.998,0.006,0.096,0.152,1.573,0.956,-0.082,0.138,0.487,0.047,0.508,0.746,0.731
513,1156,28,220,247,NORM. DIFFUSION,2.247E-2,2.353,2.163,2.340,0.975,0.002,0.050,0.071,1.778,0.749,-0.145,0.077,0.246,0.030,0.800,0.894,0.576
514,1157,19,220,238,NORM. DIFFUSION,1.425E-2,4.739,1.429,1.877,0.707,0.011,0.135,0.119,3.210,0.768,0.938,0.144,-0.055,0.010,0.581,0.662,0.628
515,1164,17,245,261,NORM. DIFFUSION,3.337E-2,3.501,3.809,1.774,0.919,0.012,0.141,0.153,2.092,1.045,0.298,0.071,-0.067,0.005,0.747,0.867,0.602
517,1170,39,233,271,NORM. DIFFUSION,1.361E-2,5.073,2.372,2.152,0.996,0.001,0.046,0.065,2.247,0.543,0.408,0.030,0.293,0.014,0.605,0.694,0.640
518,1172,36,221,256,NORM. DIFFUSION,2.198E-2,7.474,4.611,2.151,0.987,0.011,0.128,0.253,2.046,0.550,0.333,0.119,0.012,0.035,0.352,0.668,0.619
519,1175,14,239,252,NORM. DIFFUSION,5.891E-2,6.931,4.900,2.000,0.974,0.028,0.225,0.526,1.178,0.519,0.763,0.075,1.264,0.049,0.535,0.517,0.582
520,1178,14,221,234,NORM. DIFFUSION,7.724E-2,7.846,5.206,1.663,0.967,0.061,0.314,0.431,1.568,1.312,-0.079,0.049,-0.068,0.030,0.907,0.975,0.681
522,1180,11,225,235,NORM. DIFFUSION,1.545E-1,2.476,7.313,1.724,-0.227,0.006,0.095,0.215,3.053,0.877,0.206,0.271,1.444,0.043,0.567,0.296,0.569
522,1182,37,253,289,NORM. DIFFUSION,2.392E-2,2.346,7.160,1.857,0.971,0.003,0.073,0.094,1.996,0.845,0.467,0.012,0.068,0.015,0.731,0.937,0.683
524,1186,17,218,234,NORM. DIFFUSION,1.376E-1,1.278,4.725,1.512,0.444,0.054,0.298,0.681,3.629,1.023,0.607,0.222,-0.033,0.047,0.950,0.941,0.574
526,1194,22,257,278,NORM. DIFFUSION,2.006E-2,2.775,5.167,1.946,0.510,0.009,0.126,0.236,3.604,0.426,2.284,0.189,0.204,0.050,0.240,0.408,0.637
533,1207,19,233,251,NORM. DIFFUSION,1.19E-1,1.886,4.019,1.952,0.975,0.002,0.063,0.169,2.364,0.794,0.642,0.028,0.415,0.024,0.638,0.763,0.605
535,1212,11,231,241,NORM. DIFFUSION,6.954E-2,1.091,6.044,1.918,0.981,0.030,0.218,0.340,1.186,1.186,0.298,0.084,0.185,0.036,0.988,0.996,0.664
536,1214,13,231,243,NORM. DIFFUSION,2.366E-2,3.908,7.517,1.589,0.704,0.097,0.376,0.432,1.755,0.942,0.399,0.336,0.390,0.016,0.507,0.775,0.562
540,1228,39,238,276,NORM. DIFFUSION,5.117E-2,6.685,0.346,1.460,0.435,0.050,0.267,0.376,1.505,1.085,0.018,0.377,-0.021,0.024,0.926,0.968,0.598
541,1233,12,238,249,NORM. DIFFUSION,3.572E-2,6.503,6.763,1.889,0.838,0.004,0.076,0.124,2.294,0.808,-0.313,0.060,0.084,0.036,0.970,0.982,0.595
545,1236,19,240,258,NORM. DIFFUSION,1.793E-2,6.825,1.008,1.543,0.913,0.050,0.362,0.305,4.694,0.882,2.501,0.540,0.035,0.013,0.738,0.908,0.539
