PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
357,840,12,127,138,SUBDIFFUSION,1.704E-2,6.950,7.160,2.278,0.987,0.009,0.114,0.195,1.445,0.568,-0.089,0.071,0.172,0.028,0.386,0.386,0.606
367,864,15,134,148,SUBDIFFUSION,1.115E-3,5.133,2.469,2.801,-0.227,0.008,0.102,0.137,1.993,5.148E-12,-0.319,0.238,2.943,0.054,-0.071,-0.071,0.670
368,868,13,135,147,SUBDIFFUSION,8.103E-3,7.338,2.606,2.409,0.977,0.012,0.144,0.345,2.293,5.903E-12,-0.183,0.027,0.118,0.076,-0.087,-0.087,0.694
370,874,18,157,174,SUBDIFFUSION,2.366E-3,3.500,3.707,1.926,-0.101,0.015,0.164,0.200,2.522,0.031,0.241,0.124,0.442,0.042,-0.042,-0.042,0.619
374,885,12,135,146,SUBDIFFUSION,9.19E-3,7.393,7.110,2.195,0.992,0.003,0.064,0.087,1.632,0.478,0.148,0.141,0.927,0.034,0.447,0.447,0.638
376,890,21,145,165,SUBDIFFUSION,4.767E-3,4.059,7.427,2.201,0.867,0.004,0.077,0.076,2.845,0.518,0.671,0.048,0.324,0.020,0.938,0.938,0.629
380,903,19,165,183,SUBDIFFUSION,2.299E-2,5.895,1.533,2.285,0.230,0.022,0.181,0.389,1.471,0.505,0.128,0.138,0.253,0.076,0.647,0.647,0.598
382,906,15,142,156,SUBDIFFUSION,3.124E-2,2.477,1.411,2.240,0.760,0.015,0.137,0.311,1.746,0.658,-0.147,0.088,0.015,0.060,0.751,0.751,0.589
384,909,10,151,160,SUBDIFFUSION,1.263E-2,1.988,6.804,2.182,0.732,0.068,0.304,0.534,1.973,0.476,-0.183,0.012,0.129,0.040,0.998,0.998,0.541
388,915,14,149,162,SUBDIFFUSION,1.647E-2,2.186,3.460,2.690,0.991,0.004,0.073,0.117,1.642,0.628,0.082,0.128,0.605,0.039,0.941,0.941,0.607
400,939,10,165,174,SUBDIFFUSION,2.987E-3,7.072,6.308,2.584,0.989,0.003,0.060,0.107,1.480,9.066E-13,-0.165,0.089,3.689,0.033,-0.143,-0.143,0.567
410,955,15,170,184,SUBDIFFUSION,2.84E-3,5.459,2.624,2.075,-0.227,0.007,0.099,0.137,1.487,0.119,0.037,0.284,0.657,0.040,0.195,0.195,0.613
412,959,19,156,174,SUBDIFFUSION,2.823E-2,5.869,2.385,2.305,0.933,9.930E-4,0.039,0.084,3.830,0.548,0.386,0.091,0.285,0.068,0.925,0.925,0.679
414,965,36,174,209,SUBDIFFUSION,4.896E-3,1.918,7.036,2.464,0.974,0.002,0.047,0.070,2.037,0.242,-0.038,0.153,0.526,0.040,0.386,0.386,0.638
416,969,11,165,175,SUBDIFFUSION,1.43E-2,0.600,7.865,1.926,-0.227,0.054,0.280,0.816,1.429,0.144,-0.232,0.272,0.033,0.079,0.438,0.438,0.388
426,989,11,168,178,SUBDIFFUSION,7.503E-3,0.702,6.931,2.490,0.944,0.007,0.091,0.192,1.973,0.175,-0.225,0.077,3.400,0.054,0.002,0.002,0.598
433,1003,13,173,185,SUBDIFFUSION,3.142E-3,5.954,6.212,2.231,0.692,0.009,0.117,0.204,2.015,1.034E-12,0.316,0.158,0.611,0.057,-0.087,-0.087,0.706
435,1007,15,192,206,SUBDIFFUSION,8.173E-3,1.357,7.464,2.071,0.522,0.004,0.085,0.175,1.875,0.105,0.739,0.358,0.259,0.070,-0.024,-0.024,0.584
442,1019,17,170,186,SUBDIFFUSION,2.608E-3,3.624,0.974,2.392,0.822,0.005,0.083,0.095,2.578,0.163,0.255,0.050,0.562,0.033,0.145,0.145,0.651
446,1029,36,183,218,SUBDIFFUSION,3.164E-3,2.556,1.522,2.202,0.358,0.004,0.068,0.110,3.039,0.019,-0.059,0.116,1.105,0.042,-0.018,-0.018,0.670
457,1049,23,196,218,SUBDIFFUSION,9.502E-3,4.654,7.737,2.189,-0.227,0.008,0.120,0.207,2.920,0.291,1.768,0.099,0.200,0.057,0.244,0.244,0.634
461,1055,11,184,194,SUBDIFFUSION,2.233E-2,0.895,4.640,2.468,-0.227,0.025,0.192,0.435,2.485,0.486,0.194,0.008,0.703,0.036,0.450,0.450,0.724
463,1059,14,183,196,SUBDIFFUSION,1.313E-2,1.457,5.726,2.057,0.651,0.031,0.209,0.546,1.730,0.168,-0.121,0.110,0.852,0.061,0.081,0.081,0.769
465,1064,14,196,209,SUBDIFFUSION,8.903E-3,4.180,1.257,1.721,0.991,0.039,0.297,0.305,4.580,0.506,0.898,0.453,0.215,0.010,0.347,0.347,0.562
468,1068,30,188,217,SUBDIFFUSION,5.675E-3,6.905,1.093,2.509,0.689,4.307E-4,0.026,0.052,2.237,3.565E-12,0.800,0.150,0.727,0.072,-0.026,-0.026,0.616
470,1076,32,221,252,SUBDIFFUSION,2.783E-3,3.203,2.526,2.571,0.649,0.011,0.123,0.118,2.406,0.371,-0.142,0.009,0.976,0.026,0.444,0.444,0.571
475,1088,13,191,203,SUBDIFFUSION,3.461E-2,7.462,2.431,2.267,0.961,0.017,0.164,0.413,2.919,0.513,0.681,0.120,0.292,0.065,0.807,0.807,0.503
480,1100,11,194,204,SUBDIFFUSION,8.292E-3,2.262,1.884,2.170,-0.138,0.001,0.048,0.096,2.796,0.149,-0.095,0.013,0.862,0.063,0.565,0.565,0.645
487,1110,49,198,246,SUBDIFFUSION,7.928E-3,5.914,2.807,1.884,0.925,0.007,0.103,0.117,1.289,0.555,0.476,0.382,0.238,0.028,0.686,0.686,0.610
489,1115,14,200,213,SUBDIFFUSION,2.089E-3,7.417,0.754,2.301,-0.227,0.008,0.105,0.165,2.168,4.114E-11,-0.098,0.086,0.059,0.049,-0.083,-0.083,0.703
489,1117,47,227,273,SUBDIFFUSION,1.481E-3,7.425,0.718,2.503,0.967,3.488E-4,0.022,0.021,4.380,0.087,0.117,0.024,2.187,0.026,0.017,0.017,0.636
496,1124,22,203,224,SUBDIFFUSION,8.895E-3,3.204,6.976,2.417,0.997,0.005,0.090,0.165,2.594,0.214,0.278,0.047,0.112,0.048,0.073,0.073,0.650
501,1139,12,241,252,SUBDIFFUSION,1.195E-3,7.657,6.647,2.023,0.242,0.063,0.297,0.309,1.842,5.664E-11,0.030,0.167,0.262,0.033,-0.105,-0.105,0.578
514,1158,24,239,262,SUBDIFFUSION,1.245E-3,4.843,1.425,2.576,0.994,0.003,0.064,0.066,3.522,1.357E-11,0.063,0.031,3.568,0.030,-0.036,-0.036,0.587
515,1163,18,227,244,SUBDIFFUSION,7.516E-4,3.449,3.704,2.480,-0.227,0.001,0.045,0.040,2.223,4.078E-12,-0.173,0.026,0.565,0.029,-0.054,-0.054,0.645
515,1165,26,262,287,SUBDIFFUSION,2.782E-3,3.503,3.823,2.157,-0.227,0.002,0.058,0.082,1.691,5.544E-12,2.431,0.022,0.580,0.052,-0.031,-0.031,0.564
522,1181,17,236,252,SUBDIFFUSION,2.018E-3,2.426,7.240,2.786,-0.227,0.016,0.150,0.229,1.788,5.260E-12,0.329,0.175,4.816,0.044,-0.059,-0.059,0.593
523,1184,11,228,238,SUBDIFFUSION,3.848E-3,2.895,1.284,2.361,0.610,0.033,0.207,0.340,1.311,0.109,-0.399,0.038,0.311,0.041,0.150,0.150,0.603
525,1188,13,229,241,SUBDIFFUSION,1.327E-2,6.760,2.252,2.449,0.821,0.010,0.122,0.283,1.489,0.246,0.277,0.234,0.906,0.072,0.180,0.180,0.635
526,1192,18,234,251,SUBDIFFUSION,1.409E-2,2.682,5.796,2.194,0.993,0.004,0.085,0.144,3.418,0.431,0.201,0.093,1.051,0.049,0.335,0.335,0.608
528,1195,17,230,246,SUBDIFFUSION,2.271E-3,4.024,1.398,2.312,0.478,0.027,0.185,0.190,1.609,0.261,-0.096,0.077,0.316,0.033,0.714,0.714,0.572
534,1211,13,238,250,SUBDIFFUSION,9.362E-4,2.502,4.643,3.177,-0.227,0.012,0.129,0.127,1.799,5.010E-12,-0.242,0.030,0.661,0.023,-0.087,-0.087,0.617
537,1220,18,256,273,SUBDIFFUSION,2.792E-3,6.540,4.769,2.174,0.934,0.030,0.201,0.268,2.209,0.091,0.005,0.133,0.846,0.029,-6.572E-4,-6.572E-4,0.506
538,1223,11,235,245,SUBDIFFUSION,6.497E-3,3.229,7.040,2.216,-0.227,0.018,0.165,0.340,2.131,0.135,0.367,0.081,0.741,0.062,-0.110,-0.110,0.549
542,1235,11,236,246,SUBDIFFUSION,1.604E-2,7.458,1.869,2.351,0.981,0.019,0.184,0.531,2.048,0.091,0.227,0.130,0.717,0.104,-0.099,-0.099,0.560
545,1237,23,259,281,SUBDIFFUSION,1.946E-3,6.807,1.003,1.975,0.438,0.013,0.147,0.180,3.355,1.664E-11,0.212,0.522,0.664,0.041,-0.038,-0.038,0.584
546,1240,10,268,277,SUBDIFFUSION,5.269E-2,1.944,5.544,2.716,0.999,0.030,0.220,0.550,1.137,0.657,0.209,0.107,0.905,0.069,0.859,0.859,0.643
561,1259,10,268,277,SUBDIFFUSION,1.669E-2,5.860,2.260,2.642,0.273,0.003,0.057,0.107,1.618,0.570,-0.142,0.125,0.281,0.061,0.668,0.668,0.658
562,1262,12,251,262,SUBDIFFUSION,3.374E-3,2.080,3.110,2.293,0.828,0.046,0.256,0.446,2.730,7.485E-12,-0.075,0.054,0.334,0.050,-0.105,-0.105,0.648
568,1275,13,277,289,SUBDIFFUSION,1.478E-2,2.951,6.978,2.355,-0.227,0.019,0.155,0.397,2.399,0.328,-0.232,0.006,-0.017,0.058,0.094,0.094,0.646
570,1282,33,265,297,SUBDIFFUSION,1.15E-3,5.856,2.899,2.505,0.943,0.003,0.062,0.060,3.313,0.015,-0.025,0.045,0.952,0.030,-0.021,-0.021,0.628
571,1284,12,253,264,SUBDIFFUSION,1.908E-2,1.140,5.617,2.927,0.998,0.011,0.128,0.415,1.217,0.120,-0.124,0.173,0.121,0.079,-0.039,-0.039,0.549
574,1289,10,259,268,SUBDIFFUSION,5.405E-2,4.704,7.824,2.276,0.954,0.027,0.200,0.534,2.118,0.660,-0.158,0.129,0.083,0.078,0.989,0.989,0.723
582,1300,11,261,271,SUBDIFFUSION,1.028E-3,4.684,0.160,1.864,-0.227,0.061,0.308,0.304,1.961,7.270E-12,-0.244,0.170,5.274E-16,0.030,-0.125,-0.125,0.538
586,1306,16,283,298,SUBDIFFUSION,1.423E-2,3.680,5.188,2.477,-0.227,0.012,0.129,0.354,2.290,0.197,-0.044,0.008,0.800,0.093,0.172,0.172,0.626
592,1314,16,274,289,SUBDIFFUSION,2.598E-2,6.525,6.735,1.815,0.626,0.048,0.263,0.428,4.290,0.747,0.567,0.258,0.096,0.021,0.658,0.658,0.664
597,1321,12,276,287,SUBDIFFUSION,2.208E-3,6.883,4.747,2.502,-0.227,0.001,0.044,0.062,2.331,9.711E-11,-0.063,0.275,0.945,0.031,-0.105,-0.105,0.684
607,1336,11,289,299,SUBDIFFUSION,4.114E-3,4.113,7.818,2.172,-0.227,0.016,0.153,0.340,2.719,1.220E-12,-0.140,0.151,1.305,0.061,-0.125,-0.125,0.626
611,1337,12,286,297,SUBDIFFUSION,3.271E-3,2.780,1.860,2.950,-0.227,0.028,0.205,0.276,1.337,0.154,-0.267,0.028,0.374,0.041,0.134,0.134,0.662
614,1339,11,286,296,SUBDIFFUSION,2.314E-2,2.233,4.047,2.445,0.993,0.009,0.115,0.245,1.640,0.497,0.257,0.074,0.351,0.049,0.553,0.553,0.410
